순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,정수빈,두산,중견수,26,25,219,0,0,51,1,0,1.000,0,0,0,-
2,박해민,LG,중견수,25,24,208,0,0,72,2,1,1.000,0,0,0,-
2,신민재,LG,2루수,25,22,202,1,0,37,71,13,0.991,0,0,0,-
2,페라자,한화,우익수,25,25,211,2,0,41,3,0,0.957,0,0,0,-
2,박성한,SSG,유격수,25,25,211,4,0,38,61,15,0.961,0,0,0,-
2,에레디아,SSG,좌익수,25,25,210 1/3,1,0,47,0,0,0.979,0,0,0,-
2,최정,SSG,3루수,25,25,207,2,0,11,47,9,0.967,0,0,0,-
2,최지훈,SSG,중견수,25,24,213 1/3,1,0,70,2,0,0.986,0,0,0,-
2,김지찬,삼성,중견수,25,24,203 2/3,0,0,58,1,0,1.000,0,0,0,-
2,디아즈,삼성,1루수,25,25,217,1,0,204,24,21,0.996,0,0,0,-
2,류지혁,삼성,2루수,25,25,210,4,0,45,70,16,0.966,0,0,0,-
2,김주원,NC,유격수,25,25,211,3,0,35,69,14,0.972,0,0,0,-
2,이강민,KT,유격수,25,25,201,4,0,48,56,20,0.963,0,0,0,-
2,김도영,KIA,3루수,25,24,210 2/3,0,0,19,45,6,1.000,0,0,0,-
2,김호령,KIA,중견수,25,25,221,0,0,66,2,0,1.000,0,0,0,-
2,박찬호,두산,유격수,25,25,221,2,0,42,67,19,0.982,0,0,0,-
2,김건희,키움,포수,25,21,188,3,0,160,11,2,0.983,0,12,3,20.0
18,박동원,LG,포수,24,21,182,1,1,152,14,0,0.994,0,21,7,25.0
18,오지환,LG,유격수,24,22,191,4,0,37,56,13,0.959,0,0,0,-
18,채은성,한화,1루수,24,24,201 1/3,4,0,172,8,24,0.978,0,0,0,-
18,김형준,NC,포수,24,21,165 1/3,0,1,134,11,0,1.000,1,10,4,28.6
18,힐리어드,KT,좌익수,24,20,182,0,0,40,1,0,1.000,0,0,0,-
18,노진혁,롯데,1루수,24,23,189 1/3,2,0,154,18,11,0.989,0,0,0,-
24,문성주,LG,좌익수,23,20,174 1/3,1,0,48,1,0,0.980,0,0,0,-
24,오스틴,LG,1루수,23,23,198 2/3,1,0,164,12,16,0.994,0,0,0,-
24,문현빈,한화,좌익수,23,23,197,0,0,42,1,0,1.000,0,0,0,-
24,정준재,SSG,2루수,23,17,155 1/3,1,0,41,56,14,0.990,0,0,0,-
24,박민우,NC,2루수,23,23,181,1,0,44,54,12,0.990,0,0,0,-
24,김상수,KT,2루수,23,21,189,3,0,47,80,20,0.977,0,0,0,-
24,손성빈,롯데,포수,23,15,133,1,1,132,12,4,0.993,0,4,1,20.0
24,전민재,롯데,유격수,23,23,180 1/3,2,0,42,53,12,0.979,0,0,0,-
24,한준수,KIA,포수,23,19,173 1/3,1,0,144,6,2,0.993,1,19,2,9.5
33,천성호,LG,3루수,22,19,148,5,0,12,17,1,0.853,0,0,0,-
33,강민호,삼성,포수,22,19,153,0,0,118,8,2,1.000,3,12,2,14.3
33,최정원,NC,중견수,22,20,169,0,0,41,1,0,1.000,0,0,0,-
33,한태양,롯데,2루수,22,21,174 2/3,2,0,39,52,8,0.978,0,0,0,-
33,박준순,두산,2루수,22,21,177 2/3,3,0,50,59,14,0.973,0,0,0,-
38,홍창기,LG,우익수,21,20,169,0,0,38,1,0,1.000,0,0,0,-
38,김성욱,SSG,우익수,21,9,97 1/3,0,0,20,1,0,1.000,0,0,0,-
38,김민석,두산,좌익수,21,18,159,2,0,37,0,0,0.949,0,0,0,-
38,카메론,두산,우익수,21,21,173,0,0,32,0,0,1.000,0,0,0,-
42,심우준,한화,유격수,20,20,165,4,0,35,50,13,0.955,0,0,0,-
42,하주석,한화,2루수,20,17,141,3,0,37,35,12,0.960,0,0,0,-
42,카스트로,KIA,좌익수,20,20,155 1/3,0,0,45,1,0,1.000,0,0,0,-
42,양석환,두산,1루수,20,20,161,2,0,135,11,12,0.986,0,0,0,-
46,허인서,한화,포수,19,8,98,0,1,82,7,1,1.000,2,6,2,25.0
46,박건우,NC,우익수,19,19,132,0,0,19,0,0,1.000,0,0,0,-
46,이우성,NC,좌익수,19,19,132 1/3,0,0,32,0,0,1.000,0,0,0,-
46,김현수,KT,1루수,19,18,157,1,0,124,16,17,0.993,0,0,0,-
46,한승택,KT,포수,19,15,130 1/3,0,0,115,11,2,1.000,0,12,4,25.0
46,데일,KIA,유격수,19,18,153 1/3,7,0,26,33,4,0.894,0,0,0,-
46,양의지,두산,포수,19,18,150,1,0,143,9,2,0.993,1,14,1,6.7
46,브룩스,키움,1루수,19,16,150,0,0,131,11,12,1.000,0,0,0,-
46,이주형,키움,중견수,19,19,157 2/3,2,0,48,0,0,0.960,0,0,0,-
55,노시환,한화,3루수,18,18,163,3,0,8,24,4,0.914,0,0,0,-
55,최재훈,한화,포수,18,17,127,1,0,119,10,2,0.992,1,4,3,42.9
55,이재현,삼성,유격수,18,17,131,3,0,26,43,11,0.958,0,0,0,-
55,레이예스,롯데,좌익수,18,15,133,0,0,27,2,2,1.000,0,0,0,-
59,구본혁,LG,3루수,17,5,66,0,0,3,6,0,1.000,0,0,0,-
59,고명준,SSG,1루수,17,17,132,1,0,123,6,15,0.992,0,0,0,-
59,한유섬,SSG,우익수,17,15,106,0,0,16,1,0,1.000,0,0,0,-
59,전병우,삼성,3루수,17,15,134,2,0,8,26,1,0.944,0,0,0,-
59,스기모토,KT,투수,17,0,14 2/3,0,0,0,0,0,-,0,0,0,-
59,한동희,롯데,3루수,17,17,134,2,0,9,17,0,0.929,0,0,0,-
59,박재현,KIA,우익수,17,10,100,0,0,17,1,1,1.000,0,0,0,-
59,이병헌,두산,투수,17,0,12 1/3,0,0,1,2,1,1.000,0,0,0,-
67,오재원,한화,중견수,16,12,115,2,0,33,0,0,0.943,0,0,0,-
67,정우주,한화,투수,16,0,11 2/3,0,0,0,0,0,-,0,0,0,-
67,오태곤,SSG,1루수,16,8,90 2/3,0,0,80,7,9,1.000,0,0,0,-
67,이지영,SSG,포수,16,9,91 1/3,0,0,83,7,0,1.000,1,4,2,33.3
67,김영규,NC,투수,16,0,11,0,0,0,1,0,1.000,0,0,0,-
67,배재환,NC,투수,16,0,12 2/3,0,0,0,1,0,1.000,0,0,0,-
67,한승혁,KT,투수,16,0,14 2/3,1,0,1,1,0,0.667,0,0,0,-
67,유강남,롯데,포수,16,10,83 1/3,0,0,79,7,0,1.000,1,14,4,22.2
67,윤동희,롯데,우익수,16,16,124 1/3,0,0,28,1,0,1.000,0,0,0,-
67,박정우,KIA,좌익수,16,0,27 2/3,1,0,8,0,0,0.889,0,0,0,-
67,박찬혁,키움,우익수,16,15,116,0,0,22,1,0,1.000,0,0,0,-
78,조형우,SSG,포수,15,15,116,3,0,91,10,1,0.971,0,7,2,22.2
78,박세혁,삼성,포수,15,5,63 1/3,0,0,43,4,0,1.000,0,7,0,0.0
78,김휘집,NC,3루수,15,15,109,1,0,12,25,1,0.974,0,0,0,-
78,임지민,NC,투수,15,0,13 2/3,0,0,0,0,0,-,0,0,0,-
78,황성빈,롯데,중견수,15,12,107,1,0,22,0,0,0.957,0,0,0,-
83,김종수,한화,투수,14,0,11,0,0,0,1,0,1.000,0,0,0,-
83,안현민,KT,우익수,14,14,118,0,0,23,1,0,1.000,0,0,0,-
83,오윤석,KT,1루수,14,8,74,0,0,71,6,10,1.000,0,0,0,-
83,최원준,KT,우익수,14,12,113,0,0,30,1,0,1.000,0,0,0,-
83,김규성,KIA,1루수,14,5,66,1,0,53,2,2,0.982,0,0,0,-
83,김범수,KIA,투수,14,0,10 1/3,0,0,1,2,0,1.000,0,0,0,-
83,정현창,KIA,2루수,14,1,29 2/3,0,0,6,9,0,1.000,0,0,0,-
83,안재석,두산,3루수,14,14,119,3,0,13,17,1,0.909,0,0,0,-
83,윤준호,두산,포수,14,7,73,0,0,74,5,0,1.000,0,1,0,0.0
83,김지석,키움,3루수,14,13,109,3,0,7,21,2,0.903,0,0,0,-
83,유토,키움,투수,14,0,10 2/3,0,0,0,2,0,1.000,0,0,0,-
94,우강훈,LG,투수,13,0,11 2/3,0,0,0,3,0,1.000,0,0,0,-
94,유영찬,LG,투수,13,0,12,0,0,1,0,0,1.000,0,0,0,-
94,장현식,LG,투수,13,0,12 2/3,0,0,1,2,0,1.000,0,0,0,-
94,박상원,한화,투수,13,0,10,0,0,1,0,0,1.000,0,0,0,-
