순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,박민우,NC,24,14,12,2,85.7,1,0
2,류지혁,삼성,25,10,9,1,90.0,0,1
2,박찬호,두산,26,10,9,1,90.0,0,0
4,최정원,NC,22,8,7,1,87.5,0,0
5,박해민,LG,25,7,6,1,85.7,3,0
5,김주원,NC,25,6,6,0,100,2,1
7,심우준,한화,20,5,5,0,100,0,0
7,페라자,한화,25,6,5,1,83.3,1,0
7,김지찬,삼성,25,5,5,0,100,0,0
7,최원준,KT,25,8,5,3,62.5,1,0
7,황성빈,롯데,16,6,5,1,83.3,0,0
12,신민재,LG,25,5,4,1,80.0,0,1
12,최원영,LG,19,5,4,1,80.0,0,0
12,허윤,NC,12,4,4,0,100,0,0
12,한태양,롯데,23,4,4,0,100,1,0
12,정수빈,두산,26,5,4,1,80.0,0,0
12,이주형,키움,20,4,4,0,100,0,0
18,천성호,LG,24,3,3,0,100,1,0
18,박성한,SSG,25,4,3,1,75.0,0,0
18,오태곤,SSG,21,3,3,0,100,0,0
18,정준재,SSG,23,4,3,1,75.0,0,0
18,최정,SSG,25,3,3,0,100,0,0
18,최지훈,SSG,25,3,3,0,100,1,0
18,박건우,NC,25,4,3,1,75.0,0,0
18,장두성,롯데,22,3,3,0,100,1,0
18,김호령,KIA,26,5,3,2,60.0,0,1
18,박재현,KIA,23,3,3,0,100,0,0
28,홍창기,LG,21,2,2,0,100,1,0
28,안상현,SSG,16,3,2,1,66.7,1,0
28,유준규,KT,8,2,2,0,100,0,0
28,힐리어드,KT,26,2,2,0,100,1,0
28,카메론,두산,26,2,2,0,100,0,0
33,문성주,LG,25,2,1,1,50.0,1,0
33,오지환,LG,24,2,1,1,50.0,2,0
33,문현빈,한화,23,2,1,1,50.0,1,1
33,이원석,한화,16,4,1,3,25.0,1,1
33,이진영,한화,6,1,1,0,100,0,0
33,채은성,한화,24,1,1,0,100,0,0
33,황영묵,한화,11,2,1,1,50.0,0,0
33,고명준,SSG,17,1,1,0,100,0,0
33,김성욱,SSG,25,1,1,0,100,0,0
33,이지영,SSG,19,1,1,0,100,0,0
33,채현우,SSG,16,1,1,0,100,0,0
33,한유섬,SSG,23,1,1,0,100,2,0
33,김성윤,삼성,8,2,1,1,50.0,0,0
33,고준휘,NC,7,2,1,1,50.0,0,0
33,김휘집,NC,16,3,1,2,33.3,2,0
33,데이비슨,NC,24,1,1,0,100,0,0
33,서호철,NC,23,1,1,0,100,1,0
33,이우성,NC,22,1,1,0,100,2,0
33,배정대,KT,16,2,1,1,50.0,0,0
33,안현민,KT,14,1,1,0,100,1,0
33,장성우,KT,26,1,1,0,100,0,0
33,허경민,KT,7,1,1,0,100,0,0
33,김한홀,롯데,2,1,1,0,100,0,0
33,레이예스,롯데,25,1,1,0,100,1,0
33,전민재,롯데,24,1,1,0,100,2,0
33,한동희,롯데,21,1,1,0,100,1,0
33,고종욱,KIA,11,1,1,0,100,0,0
