순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,박성한,SSG,0.458,25,116,96,20,44,10,1,2,62,21,0,1
2,류지혁,삼성,0.385,25,111,96,19,37,7,2,3,57,16,0,0
3,페라자,한화,0.371,25,118,97,26,36,9,0,4,57,18,0,2
4,문성주,LG,0.370,25,96,81,6,30,6,0,0,36,12,2,2
5,박준순,두산,0.368,24,101,95,9,35,5,2,3,53,16,0,0
6,천성호,LG,0.365,24,85,74,14,27,5,0,1,35,10,2,0
7,문현빈,한화,0.356,23,108,87,20,31,7,2,5,57,22,0,0
8,레이예스,롯데,0.350,25,111,100,10,35,5,0,5,55,14,0,1
9,오스틴,LG,0.340,25,117,103,22,35,5,1,6,60,20,0,1
10,박민우,NC,0.330,24,103,88,18,29,8,0,1,40,18,0,1
11,이우성,NC,0.329,22,78,70,9,23,6,0,3,38,4,0,0
12,최원준,KT,0.318,25,123,107,19,34,9,1,1,48,13,1,1
13,김선빈,KIA,0.314,25,106,86,13,27,5,0,1,35,15,0,1
14,박찬호,두산,0.310,26,119,100,23,31,6,0,2,43,9,3,0
15,문보경,LG,0.309,24,107,81,11,25,3,0,3,37,15,0,2
16,최형우,삼성,0.308,25,116,91,14,28,5,0,4,45,18,0,1
17,김현수,KT,0.300,26,121,110,17,33,9,0,3,51,21,0,0
18,박건우,NC,0.294,25,97,85,10,25,5,0,5,45,14,0,0
19,강백호,한화,0.291,25,114,103,13,30,6,0,4,48,30,0,1
20,디아즈,삼성,0.289,25,112,97,16,28,4,0,4,44,18,0,2
21,김호령,KIA,0.288,26,119,104,16,30,9,0,1,42,10,4,0
22,데일,KIA,0.286,25,107,91,16,26,4,0,1,33,6,4,1
23,최정,SSG,0.281,25,109,89,16,25,7,1,6,52,14,0,2
24,김주원,NC,0.276,25,114,98,13,27,4,0,3,40,5,1,0
25,카메론,두산,0.275,26,107,102,12,28,9,1,5,54,12,0,1
26,나성범,KIA,0.271,24,101,85,13,23,4,0,4,39,16,0,1
27,안치홍,키움,0.269,25,109,93,9,25,7,0,1,35,6,0,0
28,이주형,키움,0.268,20,90,82,12,22,8,1,2,38,12,0,0
29,노진혁,롯데,0.267,25,98,86,6,23,8,0,4,43,12,0,1
30,정수빈,두산,0.261,26,103,88,9,23,0,0,2,29,10,2,0
31,김지찬,삼성,0.258,25,114,93,20,24,3,2,0,31,6,0,1
31,한준수,KIA,0.258,25,83,62,9,16,4,0,2,26,8,3,1
33,김건희,키움,0.257,25,89,74,7,19,4,0,1,26,11,0,3
34,오지환,LG,0.253,24,94,79,10,20,3,0,1,26,16,1,2
35,이강민,KT,0.253,25,90,83,8,21,1,0,0,22,11,1,1
36,박해민,LG,0.253,25,102,87,7,22,5,0,0,27,6,2,1
37,에레디아,SSG,0.250,25,109,104,11,26,3,0,5,44,18,0,1
37,김형준,NC,0.250,24,79,68,5,17,2,0,1,22,11,0,0
37,한태양,롯데,0.250,23,81,72,9,18,3,0,0,21,1,1,0
37,카스트로,KIA,0.250,23,93,88,15,22,9,0,2,37,16,0,1
37,브룩스,키움,0.250,25,113,96,9,24,6,0,0,30,13,0,2
42,김도영,KIA,0.245,26,116,98,20,24,5,0,9,56,26,0,1
43,한동희,롯데,0.244,21,87,82,5,20,4,0,0,24,4,0,0
44,장성우,KT,0.241,26,108,87,19,21,5,0,7,47,24,0,1
45,김상수,KT,0.240,24,95,75,7,18,3,0,0,21,6,2,1
46,채은성,한화,0.233,24,103,90,9,21,2,0,2,29,11,0,2
47,데이비슨,NC,0.233,24,96,86,10,20,4,0,4,36,13,0,1
48,양석환,두산,0.231,23,89,78,5,18,3,0,1,24,5,0,3
49,전준우,롯데,0.228,25,101,92,7,21,2,0,2,29,7,0,1
50,힐리어드,KT,0.223,26,118,103,19,23,3,1,5,43,18,0,3
51,양의지,두산,0.222,26,112,90,8,20,4,0,2,30,11,0,4
52,박동원,LG,0.219,24,88,73,11,16,4,0,1,23,12,0,2
53,최주환,키움,0.213,23,83,75,5,16,3,0,1,22,9,0,1
54,강민호,삼성,0.209,24,78,67,4,14,3,0,0,17,8,0,0
55,최지훈,SSG,0.198,25,102,91,16,18,5,0,4,35,15,1,1
56,홍창기,LG,0.191,21,92,68,11,13,3,1,0,18,4,0,0
57,노시환,한화,0.176,18,85,74,10,13,2,0,1,18,6,1,1
58,신민재,LG,0.165,25,91,79,6,13,0,0,0,13,5,2,0
59,김재환,SSG,0.110,24,101,82,7,9,1,0,2,16,10,0,1
