순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,박성한,SSG,0.458,13,25,19,1.32,2,2.00,4.21,0.188,28.5,0.406
2,류지혁,삼성,0.385,12,22,21,1.05,1,0.94,4.02,0.208,24.1,0.359
3,페라자,한화,0.371,13,17,29,0.59,1,1.12,4.14,0.216,25.1,0.357
4,문성주,LG,0.370,6,19,23,0.83,4,0.82,3.97,0.074,15.9,0.307
5,박준순,두산,0.368,10,21,16,1.31,5,0.13,3.26,0.189,18.3,0.322
6,천성호,LG,0.365,6,28,9,3.11,1,0.80,3.68,0.108,13.8,0.314
7,문현빈,한화,0.356,14,24,20,1.20,1,1.58,3.63,0.299,23.2,0.380
8,레이예스,롯데,0.350,10,18,32,0.56,0,0.56,3.44,0.200,20.4,0.320
9,오스틴,LG,0.340,12,22,34,0.65,3,1.00,3.62,0.243,22.2,0.330
10,박민우,NC,0.330,9,23,24,0.96,2,0.92,3.91,0.125,17.7,0.301
11,이우성,NC,0.329,9,19,15,1.27,0,0.62,3.90,0.214,13.8,0.314
12,최원준,KT,0.318,11,25,28,0.89,1,0.62,3.93,0.131,18.8,0.289
13,김선빈,KIA,0.314,6,33,19,1.74,0,2.25,4.20,0.093,16.5,0.297
14,박찬호,두산,0.310,8,25,26,0.96,0,0.89,3.82,0.120,17.6,0.290
15,문보경,LG,0.309,6,22,18,1.22,1,1.28,4.06,0.148,18.4,0.320
16,최형우,삼성,0.308,9,25,28,0.89,1,2.00,3.97,0.187,19.8,0.325
17,김현수,KT,0.300,12,34,28,1.21,2,0.73,3.88,0.164,16.2,0.280
18,박건우,NC,0.294,10,15,25,0.60,2,0.60,3.44,0.235,16.1,0.304
19,강백호,한화,0.291,10,32,21,1.52,2,0.48,4.03,0.175,17.1,0.274
20,디아즈,삼성,0.289,8,22,32,0.69,1,0.76,3.96,0.165,16.3,0.278
21,김호령,KIA,0.288,10,31,21,1.48,0,0.36,3.68,0.115,14.5,0.262
22,데일,KIA,0.286,5,33,22,1.50,0,1.00,3.65,0.077,11.8,0.252
23,최정,SSG,0.281,14,14,29,0.48,3,0.65,3.96,0.303,21.6,0.323
24,김주원,NC,0.276,7,21,35,0.60,1,0.67,3.87,0.133,16.9,0.269
25,카메론,두산,0.275,15,16,32,0.50,0,0.11,3.51,0.255,14.6,0.267
26,나성범,KIA,0.271,8,19,16,1.19,3,0.50,3.98,0.188,15.8,0.284
27,안치홍,키움,0.269,8,25,24,1.04,1,0.84,3.99,0.108,12.7,0.263
28,이주형,키움,0.268,11,22,21,1.05,3,0.29,3.66,0.195,13.1,0.266
29,노진혁,롯데,0.267,12,19,24,0.79,1,0.52,3.84,0.233,14.9,0.281
30,정수빈,두산,0.261,2,23,25,0.92,2,0.65,4.40,0.068,12.3,0.243
31,김지찬,삼성,0.258,5,28,34,0.82,0,2.25,3.62,0.075,14.7,0.257
31,한준수,KIA,0.258,6,16,21,0.76,1,1.70,4.22,0.161,10.8,0.291
33,김건희,키움,0.257,5,18,13,1.38,1,0.44,4.13,0.095,10.1,0.244
34,오지환,LG,0.253,4,25,22,1.14,2,0.71,3.94,0.076,10.9,0.237
35,이강민,KT,0.253,1,24,21,1.14,1,0.22,3.47,0.012,6.4,0.198
36,박해민,LG,0.253,5,18,36,0.50,1,0.75,4.06,0.057,11.4,0.231
37,에레디아,SSG,0.250,8,16,40,0.40,1,0.17,3.62,0.173,11.5,0.230
37,김형준,NC,0.250,3,12,13,0.92,0,0.38,4.16,0.074,8.1,0.240
37,한태양,롯데,0.250,3,18,17,1.06,0,0.37,3.88,0.042,8.1,0.219
37,카스트로,KIA,0.250,11,25,20,1.25,2,0.18,3.92,0.170,9.0,0.231
37,브룩스,키움,0.250,6,18,39,0.46,0,0.82,3.84,0.063,12.4,0.233
42,김도영,KIA,0.245,14,25,31,0.81,4,0.79,3.53,0.327,19.4,0.302
43,한동희,롯데,0.244,4,26,19,1.37,1,0.24,3.53,0.049,5.6,0.202
44,장성우,KT,0.241,12,20,24,0.83,3,0.87,4.40,0.299,17.3,0.306
45,김상수,KT,0.240,3,22,27,0.81,2,1.78,4.45,0.040,9.3,0.239
46,채은성,한화,0.233,4,25,28,0.89,0,0.44,3.72,0.089,10.0,0.220
47,데이비슨,NC,0.233,8,15,30,0.50,2,0.23,3.90,0.186,11.4,0.241
48,양석환,두산,0.231,4,8,31,0.26,0,0.33,3.87,0.077,8.7,0.208
49,전준우,롯데,0.228,4,27,33,0.82,0,0.67,3.70,0.087,8.4,0.208
50,힐리어드,KT,0.223,9,24,25,0.96,0,0.35,3.84,0.194,15.1,0.238
51,양의지,두산,0.222,6,25,40,0.63,0,1.33,3.96,0.111,12.9,0.236
52,박동원,LG,0.219,5,18,17,1.06,0,0.50,3.98,0.096,8.2,0.227
53,최주환,키움,0.213,4,22,24,0.92,0,0.50,4.14,0.080,5.1,0.198
54,강민호,삼성,0.209,3,13,17,0.76,1,0.43,4.35,0.045,5.4,0.208
55,최지훈,SSG,0.198,9,24,34,0.71,2,0.44,4.28,0.187,10.4,0.216
56,홍창기,LG,0.191,4,27,7,3.86,1,0.95,4.57,0.074,10.7,0.247
57,노시환,한화,0.176,3,13,23,0.57,1,0.27,3.96,0.068,4.6,0.179
58,신민재,LG,0.165,0,40,10,4.00,0,0.63,3.90,0.000,3.6,0.157
59,김재환,SSG,0.110,3,27,22,1.23,0,0.72,3.97,0.085,5.6,0.169
