순위,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,올러,KIA,0.81,5,4,0,1,0,0,4,36,31,1.16
2,웰스,LG,1.16,5,2,0,0,0,0,0,29,38,0.76
3,송승기,LG,1.42,5,1,0,0,0,0,1,22,34,0.65
4,후라도,삼성,1.62,6,2,0,0,0,0,3,52,37,1.41
5,최민석,두산,1.82,5,3,0,0,0,0,6,38,24,1.58
6,보쉴리,KT,1.93,5,4,0,0,0,0,3,29,25,1.16
7,오원석,KT,2.22,5,3,0,0,0,0,4,31,22,1.41
8,나균안,롯데,2.28,5,0,0,0,0,0,1,30,28,1.07
9,왕옌청,한화,2.45,6,2,0,0,0,0,5,43,21,2.05
10,구창모,NC,2.54,5,3,0,0,0,0,3,36,28,1.29
11,김진욱,롯데,2.76,5,2,0,0,0,0,2,26,27,0.96
12,알칸타라,키움,3.35,6,2,0,0,0,0,4,34,39,0.87
13,네일,KIA,3.44,6,1,0,0,0,0,3,51,22,2.32
14,곽빈,두산,3.48,6,1,0,0,0,0,2,26,32,0.81
15,김건우,SSG,3.60,5,3,0,0,0,0,5,23,28,0.82
16,박세웅,롯데,3.81,5,0,0,0,0,0,1,26,23,1.13
17,사우어,KT,3.89,6,1,0,0,0,0,6,30,41,0.73
18,로드리게스,롯데,4.18,5,3,0,0,1,0,4,26,27,0.96
19,소형준,KT,4.33,5,3,0,0,0,0,4,37,14,2.64
20,화이트,SSG,4.39,5,1,0,0,0,0,3,29,23,1.26
21,톨허스트,LG,4.50,5,3,0,0,0,0,2,24,34,0.71
21,잭로그,두산,4.50,5,1,0,0,0,0,0,35,28,1.25
23,임찬규,LG,5.40,5,1,0,0,0,0,2,27,31,0.87
24,에르난데스,한화,5.72,6,3,0,0,0,0,5,26,35,0.74
