순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,26,18,8,0,0.692,0,7승0무3패,2승,9-0-4,9-0-4
2,LG,25,16,9,0,0.640,1.5,6승0무4패,2패,9-0-5,7-0-4
3,SSG,25,15,10,0,0.600,2.5,7승0무3패,2패,8-0-5,7-0-5
4,삼성,25,13,11,1,0.542,4,3승0무7패,1승,6-1-6,7-0-5
5,NC,25,12,13,0,0.480,5.5,5승0무5패,2승,7-0-6,5-0-7
5,KIA,26,12,13,1,0.480,5.5,3승1무6패,1패,7-1-3,5-0-10
7,한화,25,11,14,0,0.440,6.5,5승0무5패,1승,4-0-11,7-0-3
8,두산,26,10,15,1,0.400,7.5,5승0무5패,1패,5-0-7,5-1-8
9,키움,26,10,16,0,0.385,8,6승0무4패,1패,7-0-5,3-0-11
10,롯데,25,8,16,1,0.333,9,2승1무7패,1승,3-0-8,5-1-8
