순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,KT,0.282,26,1065,916,158,258,47,4,22,379,149,11,8
2,LG,0.270,25,997,836,115,226,36,2,14,308,112,15,10
3,삼성,0.269,25,1023,875,126,235,41,9,18,348,118,5,6
4,SSG,0.267,25,997,855,135,228,45,3,27,360,126,7,9
5,한화,0.262,25,1023,887,145,232,36,4,21,339,135,8,9
6,NC,0.259,25,972,842,116,218,39,0,24,329,106,10,2
7,KIA,0.259,26,1025,874,126,226,47,0,23,342,122,19,8
8,두산,0.254,26,1029,893,114,227,40,5,20,337,106,12,14
9,롯데,0.244,25,939,853,78,208,38,3,20,312,74,6,6
10,키움,0.238,26,980,862,90,205,44,2,12,289,83,11,7
