순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,LG,3.54,25,16,9,12,17,0.640,224,219,17,82,11,181,94,88,1.34
2,KT,3.83,26,18,8,8,13,0.692,235,243,19,82,15,210,110,100,1.38
3,NC,4.17,25,12,13,4,15,0.480,218,178,25,105,15,173,109,101,1.30
4,삼성,4.22,25,13,11,6,14,0.542,224,224,22,101,19,171,111,105,1.45
5,SSG,4.24,25,15,10,6,11,0.600,222 2/3,213,21,117,17,187,123,105,1.48
6,키움,4.45,26,10,16,9,19,0.385,226 2/3,262,21,91,10,184,123,112,1.56
7,두산,4.52,26,10,15,4,7,0.400,233,240,17,113,14,217,135,117,1.52
8,KIA,4.54,26,12,13,5,19,0.480,230,221,25,99,13,187,125,116,1.39
9,롯데,4.57,25,8,16,5,8,0.333,220 1/3,215,17,111,12,209,123,112,1.48
10,한화,5.24,25,11,14,2,16,0.440,225,248,17,127,20,198,150,131,1.67
