date,rank,team,games,wins,losses,draws,win_rate,games_behind,recent_10,streak,home_record,away_record,season,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,streak_type,streak_count,games_played_ratio,remaining_games,home_away_win_diff,month,win_rate_delta_30d,rank_delta_30d,recent20_win_rate,recent30_win_rate,games_behind_5th,wins_to_5th
2017-03-31,1,KIA,1,1,0,0,1.0,0.0,1승0무0패,1승,0-0-0,1-0-0,2017,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0.006944444444444444,143,-1.0,3,,,,,,
2017-04-01,1,KIA,2,2,0,0,1.0,0.0,2승0무0패,2승,0-0-0,2-0-0,2017,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,2,0.013888888888888888,142,-1.0,4,,,,,,
2017-04-02,3,KIA,3,2,1,0,0.667,1.0,2승0무1패,1패,0-0-0,2-0-1,2017,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.6666666666666666,-1,1,0.020833333333333332,141,-0.6666666666666666,4,,,,,,
2017-04-03,3,KIA,3,2,1,0,0.667,1.0,2승0무1패,1패,0-0-0,2-0-1,2017,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.6666666666666666,-1,1,0.020833333333333332,141,-0.6666666666666666,4,,,,,,
2017-04-04,2,KIA,4,3,1,0,0.75,1.0,3승0무1패,1승,1-0-0,2-0-1,2017,3.0,0.0,1.0,0.75,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.6666666666666666,1,1,0.027777777777777776,140,0.33333333333333337,4,,,,,,
2017-04-06,2,KIA,5,4,1,0,0.8,1.0,4승0무1패,2승,2-0-0,2-0-1,2017,4.0,0.0,1.0,0.8,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.6666666666666666,1,2,0.034722222222222224,139,0.33333333333333337,4,,,,,-1.0,0.0
2017-04-07,2,KIA,6,5,1,0,0.833,1.0,5승0무1패,3승,3-0-0,2-0-1,2017,5.0,0.0,1.0,0.8333333333333334,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.6666666666666666,1,3,0.041666666666666664,138,0.33333333333333337,4,,,,,-2.0,0.0
2017-04-08,3,KIA,7,5,2,0,0.714,1.0,5승0무2패,1패,3-0-1,2-0-1,2017,5.0,0.0,2.0,0.7142857142857143,3.0,0.0,1.0,0.75,2.0,0.0,1.0,0.6666666666666666,-1,1,0.04861111111111111,137,0.08333333333333337,4,,,,,-2.0,0.0
2017-04-09,2,KIA,8,6,2,0,0.75,1.0,6승0무2패,1승,4-0-1,2-0-1,2017,6.0,0.0,2.0,0.75,4.0,0.0,1.0,0.8,2.0,0.0,1.0,0.6666666666666666,1,1,0.05555555555555555,136,0.13333333333333341,4,,,,,-3.0,0.0
2017-04-11,3,KIA,9,6,3,0,0.667,1.0,6승0무3패,1패,4-0-1,2-0-2,2017,6.0,0.0,3.0,0.6666666666666666,4.0,0.0,1.0,0.8,2.0,0.0,2.0,0.5,-1,1,0.0625,135,0.30000000000000004,4,,,,,-2.0,0.0
