season,team,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top5_hitter_obp_avg,top5_hitter_slg_avg
2022,KIA,0.2908,59,351,0.7906,0.3678,0.42279999999999995
2022,KT,0.27020000000000005,58,296,0.7384,0.3426,0.39580000000000004
2022,LG,0.2852,64,376,0.7851999999999999,0.3646,0.4206
2022,NC,0.2944,65,363,0.8148,0.3706,0.44420000000000004
2022,SSG,0.2782,75,362,0.8182,0.37540000000000007,0.44279999999999997
2022,두산,0.27379999999999993,50,312,0.7348,0.3372,0.3976
2022,롯데,0.3065,62,292,0.8207500000000001,0.3605,0.46025
2022,삼성,0.30500000000000005,49,203,0.9059999999999999,0.378,0.528
2022,키움,0.29159999999999997,63,350,0.784,0.3532,0.43079999999999996
2022,한화,0.26839999999999997,38,262,0.7182000000000001,0.34639999999999993,0.3718
