season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top5_hitter_obp_avg,top5_hitter_slg_avg,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum
2023,LG,0.279,767,1364,93,714,1924,5687,4881,0.361,0.394,0.755,583,804,3.67,1.36,610,527,74,491,977,1293.3333333333333,128,0.976,131,10,115,30,20.7,267,166,101,62.2,78,15,0.30479999999999996,46,379,0.8055999999999999,0.38180000000000003,0.42380000000000007,3.8499999999999996,1.3066666666666669,470.0,350
2023,KIA,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,0.302,40,277,0.79175,0.37025,0.4215,3.58,1.34,171.0,133
2023,NC,0.27,679,1321,98,642,1894,5606,4895,0.345,0.387,0.732,493,1005,3.83,1.31,617,545,99,513,1090,1281.3333333333333,130,0.976,126,7,96,42,30.4,157,111,46,70.7,53,8,0.298,46,340,0.7964,0.3718,0.42460000000000003,2.0,0.95,180.33333333333334,209
2023,KT,0.265,672,1316,89,621,1846,5649,4973,0.338,0.371,0.709,524,1074,3.94,1.35,616,564,83,413,968,1287.0,99,0.981,117,3,111,23,17.2,117,87,30,74.4,54,5,0.2852,53,327,0.7712000000000001,0.3566,0.41459999999999997,3.16,1.18,334.66666666666663,271
2023,롯데,0.265,653,1289,69,608,1765,5576,4871,0.338,0.362,0.7,522,1000,4.15,1.46,660,586,80,532,1070,1272.3333333333333,103,0.981,111,13,91,46,33.6,143,101,42,70.6,42,12,0.28633333333333333,28,179,0.7593333333333333,0.35633333333333334,0.403,3.365,1.3250000000000002,324.33333333333337,276
2023,삼성,0.263,636,1290,88,603,1808,5581,4912,0.334,0.368,0.702,487,954,4.6,1.47,728,654,120,464,899,1278.3333333333333,103,0.981,111,6,86,32,27.1,138,103,35,74.6,56,10,0.2856,57,333,0.7667999999999999,0.3564,0.4104,2.89,1.21,338.0,241
2023,키움,0.261,607,1323,61,576,1789,5729,5062,0.331,0.353,0.684,484,1096,4.42,1.45,710,632,84,532,962,1288.3333333333333,114,0.979,125,9,129,45,25.9,65,54,11,83.1,37,7,0.335,7,57,0.842,0.396,0.446,2.52,1.09,334.3333333333333,311
2023,SSG,0.26,658,1279,125,611,1915,5630,4923,0.336,0.389,0.725,507,943,4.37,1.53,698,626,104,612,974,1288.3333333333333,119,0.978,163,11,127,56,30.6,124,96,28,77.4,43,10,0.27779999999999994,72,303,0.7818,0.34900000000000003,0.4328,4.38,1.475,313.0,207
2023,두산,0.255,620,1238,100,565,1812,5538,4859,0.332,0.373,0.705,505,975,3.92,1.36,625,560,90,501,1013,1284.6666666666667,114,0.978,108,12,60,40,40.0,181,133,48,73.5,52,11,0.2722,57,284,0.756,0.35500000000000004,0.40099999999999997,2.67,1.07,192.0,162
2023,한화,0.241,604,1184,100,568,1719,5628,4906,0.324,0.35,0.674,535,1162,4.38,1.4,708,628,101,518,1037,1291.6666666666667,109,0.98,106,10,94,48,33.8,89,67,22,75.3,35,7,0.26225,61,264,0.74875,0.349,0.39975,3.6,1.17,177.33333333333334,147
