date,rank,team,games,wins,losses,draws,win_rate,games_behind,recent_10,streak,home_record,away_record,season,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,streak_type,streak_count,games_played_ratio,remaining_games,home_away_win_diff,month,win_rate_delta_30d,rank_delta_30d,recent20_win_rate,recent30_win_rate,games_behind_5th,wins_to_5th,prev_team_avg,prev_team_runs,prev_team_hits,prev_team_hr,prev_team_rbi,prev_team_tb,prev_team_pa,prev_team_ab,prev_team_obp,prev_team_slg,prev_team_ops,prev_team_bb,prev_team_so,prev_team_era,prev_team_whip,prev_team_runs_allowed,prev_team_er,prev_team_hr_allowed,prev_team_bb_allowed,prev_team_so_pitcher,prev_team_ip,prev_team_errors,prev_team_fpct,prev_team_dp,prev_team_pb,prev_team_sb_allowed,prev_team_cs_defense,prev_team_cs_rate,prev_team_sba,prev_team_sb,prev_team_cs,prev_team_sb_rate,prev_team_oob,prev_team_runner_pko,prev_run_differential,prev_pythagorean_win_rate,prev_k_bb_ratio,prev_iso,prev_bb_rate,prev_top5_hitter_avg,prev_top5_hitter_hr_sum,prev_top5_hitter_rbi_sum,prev_top5_hitter_ops_avg,prev_top3_hitter_ops_avg,prev_ops_concentration,prev_top5_hitter_obp_avg,prev_top5_hitter_slg_avg,prev_top5_pitcher_era_avg,prev_top5_pitcher_whip_avg,prev_top5_pitcher_ip_sum,prev_top5_pitcher_so_sum,prev_ace_era,prev_ace_era_gap,final_rank,postseason
2024-03-23,1,KIA,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0,2024,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0069444444444444,143,1.0,3,,,,,,,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
2024-03-24,1,KIA,1,1,0,0,1.0,0.5,1승0무0패,1승,1-0-0,0-0-0,2024,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0069444444444444,143,1.0,3,,,,,,,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
2024-03-26,1,KIA,2,2,0,0,1.0,0.0,2승0무0패,2승,2-0-0,0-0-0,2024,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0.0138888888888888,142,1.0,3,,,,,,,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
2024-03-27,1,KIA,3,3,0,0,1.0,0.0,3승0무0패,3승,3-0-0,0-0-0,2024,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,0.0208333333333333,141,1.0,3,,,,,-1.0,0.0,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
2024-03-28,1,KIA,3,3,0,0,1.0,0.0,3승0무0패,3승,3-0-0,0-0-0,2024,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,0.0208333333333333,141,1.0,3,,,,,-1.0,0.0,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
2024-03-29,1,KIA,4,4,0,0,1.0,0.0,4승0무0패,4승,3-0-0,1-0-0,2024,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,4,0.0277777777777777,140,0.0,3,,,,,-2.0,0.0,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
2024-03-30,2,KIA,5,4,1,0,0.8,1.0,4승0무1패,1패,3-0-0,1-0-1,2024,4.0,0.0,1.0,0.8,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,-1,1,0.0347222222222222,139,0.5,3,,,,,-1.0,0.0,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
2024-03-31,2,KIA,6,5,1,0,0.833,1.0,5승0무1패,1승,3-0-0,2-0-1,2024,5.0,0.0,1.0,0.8333333333333334,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.6666666666666666,1,1,0.0416666666666666,138,0.3333333333333333,3,,,,,-1.5,0.0,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
2024-04-02,3,KIA,7,5,2,0,0.714,1.0,5승0무2패,1패,3-0-0,2-0-2,2024,5.0,0.0,2.0,0.7142857142857143,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.5,-1,1,0.0486111111111111,137,0.5,4,,,,,-1.5,0.0,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
2024-04-03,2,KIA,8,6,2,0,0.75,0.5,6승0무2패,1승,3-0-0,3-0-2,2024,6.0,0.0,2.0,0.75,3.0,0.0,0.0,1.0,3.0,0.0,2.0,0.6,1,1,0.0555555555555555,136,0.4,4,,,,,-1.5,0.0,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,0.302,40,277,0.79175,0.8093333333333333,1.0222081886117251,0.37025,0.4215,3.58,1.34,171.0,133,3.58,0.0,1,1
