날짜,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
20160401,1,두산,1,1,0,0,1.000,0,1승0무0패,1승,0-0-0,1-0-0
20160401,1,NC,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20160401,1,롯데,1,1,0,0,1.000,0,1승0무0패,1승,0-0-0,1-0-0
20160401,1,LG,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20160401,1,KT,1,1,0,0,1.000,0,1승0무0패,1승,0-0-0,1-0-0
20160401,6,삼성,1,0,1,0,0.000,1,0승0무1패,1패,0-0-1,0-0-0
20160401,6,넥센,1,0,1,0,0.000,1,0승0무1패,1패,0-0-1,0-0-0
20160401,6,SK,1,0,1,0,0.000,1,0승0무1패,1패,0-0-1,0-0-0
20160401,6,한화,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20160401,6,KIA,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20160402,1,LG,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
20160402,2,두산,2,1,1,0,0.500,1,1승0무1패,1패,0-0-0,1-0-1
20160402,2,삼성,2,1,1,0,0.500,1,1승0무1패,1승,1-0-1,0-0-0
20160402,2,NC,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20160402,2,넥센,2,1,1,0,0.500,1,1승0무1패,1승,1-0-1,0-0-0
20160402,2,SK,2,1,1,0,0.500,1,1승0무1패,1승,1-0-1,0-0-0
20160402,2,KIA,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20160402,2,롯데,2,1,1,0,0.500,1,1승0무1패,1패,0-0-0,1-0-1
20160402,2,KT,2,1,1,0,0.500,1,1승0무1패,1패,0-0-0,1-0-1
20160402,10,한화,2,0,2,0,0.000,2,0승0무2패,2패,0-0-0,0-0-2
20160403,1,LG,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
20160403,2,넥센,3,2,1,0,0.667,0.5,2승0무1패,2승,2-0-1,0-0-0
20160403,2,KT,3,2,1,0,0.667,0.5,2승0무1패,1승,0-0-0,2-0-1
20160403,4,두산,2,1,1,0,0.500,1,1승0무1패,1패,0-0-0,1-0-1
20160403,4,삼성,2,1,1,0,0.500,1,1승0무1패,1승,1-0-1,0-0-0
20160403,4,NC,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20160403,4,KIA,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20160403,8,SK,3,1,2,0,0.333,1.5,1승0무2패,1패,1-0-2,0-0-0
20160403,8,롯데,3,1,2,0,0.333,1.5,1승0무2패,2패,0-0-0,1-0-2
20160403,10,한화,2,0,2,0,0.000,2,0승0무2패,2패,0-0-0,0-0-2
20160405,1,KT,4,3,1,0,0.750,0,3승0무1패,2승,1-0-0,2-0-1
20160405,2,두산,3,2,1,0,0.667,0.5,2승0무1패,1승,1-0-0,1-0-1
20160405,2,KIA,3,2,1,0,0.667,0.5,2승0무1패,2승,1-0-0,1-0-1
20160405,2,LG,3,2,1,0,0.667,0.5,2승0무1패,1패,2-0-0,0-0-1
20160405,5,넥센,4,2,2,0,0.500,1,2승0무2패,1패,2-0-1,0-0-1
20160405,5,롯데,4,2,2,0,0.500,1,2승0무2패,1승,1-0-0,1-0-2
20160405,7,삼성,3,1,2,0,0.333,1.5,1승0무2패,1패,1-0-1,0-0-1
20160405,7,NC,3,1,2,0,0.333,1.5,1승0무2패,2패,1-0-1,0-0-1
20160405,7,한화,3,1,2,0,0.333,1.5,1승0무2패,1승,1-0-0,0-0-2
20160405,10,SK,4,1,3,0,0.250,2,1승0무3패,2패,1-0-2,0-0-1
20160406,1,두산,4,3,1,0,0.750,0,3승0무1패,2승,2-0-0,1-0-1
20160406,2,KIA,3,2,1,0,0.667,0.5,2승0무1패,2승,1-0-0,1-0-1
20160406,2,LG,3,2,1,0,0.667,0.5,2승0무1패,1패,2-0-0,0-0-1
20160406,4,넥센,5,3,2,0,0.600,0.5,3승0무2패,1승,2-0-1,1-0-1
20160406,4,롯데,5,3,2,0,0.600,0.5,3승0무2패,2승,2-0-0,1-0-2
20160406,4,KT,5,3,2,0,0.600,0.5,3승0무2패,1패,1-0-1,2-0-1
20160406,7,삼성,4,2,2,0,0.500,1,2승0무2패,1승,1-0-1,1-0-1
20160406,8,NC,4,1,3,0,0.250,2,1승0무3패,3패,1-0-1,0-0-2
20160406,8,한화,4,1,3,0,0.250,2,1승0무3패,1패,1-0-1,0-0-2
20160406,10,SK,5,1,4,0,0.200,2.5,1승0무4패,3패,1-0-2,0-0-2
20160407,1,LG,4,3,1,0,0.750,0,3승0무1패,1승,2-0-0,1-0-1
20160407,2,넥센,6,4,2,0,0.667,0,4승0무2패,2승,2-0-1,2-0-1
20160407,3,두산,5,3,2,0,0.600,0.5,3승0무2패,1패,2-0-1,1-0-1
20160407,3,삼성,5,3,2,0,0.600,0.5,3승0무2패,2승,1-0-1,2-0-1
20160407,5,KIA,4,2,2,0,0.500,1,2승0무2패,1패,1-0-1,1-0-1
20160407,5,롯데,6,3,3,0,0.500,1,3승0무3패,1패,2-0-1,1-0-2
20160407,5,KT,6,3,3,0,0.500,1,3승0무3패,2패,1-0-2,2-0-1
20160407,8,NC,5,2,3,0,0.400,1.5,2승0무3패,1승,1-0-1,1-0-2
20160407,9,SK,6,2,4,0,0.333,2,2승0무4패,1승,1-0-2,1-0-2
20160407,10,한화,5,1,4,0,0.200,2.5,1승0무4패,2패,1-0-2,0-0-2
20160408,1,두산,6,4,2,0,0.667,0,4승0무2패,1승,3-0-1,1-0-1
20160408,1,삼성,6,4,2,0,0.667,0,4승0무2패,3승,1-0-1,3-0-1
20160408,3,LG,5,3,2,0,0.600,0.5,3승0무2패,1패,2-0-0,1-0-2
20160408,4,넥센,7,4,3,0,0.571,0.5,4승0무3패,1패,2-0-1,2-0-2
20160408,4,KT,7,4,3,0,0.571,0.5,4승0무3패,1승,2-0-2,2-0-1
20160408,6,NC,6,3,3,0,0.500,1,3승0무3패,2승,2-0-1,1-0-2
20160408,7,SK,7,3,4,0,0.429,1.5,3승0무4패,2승,2-0-2,1-0-2
20160408,7,롯데,7,3,4,0,0.429,1.5,3승0무4패,2패,2-0-2,1-0-2
20160408,9,KIA,5,2,3,0,0.400,1.5,2승0무3패,2패,1-0-1,1-0-2
20160408,10,한화,6,1,5,0,0.167,3,1승0무5패,3패,1-0-2,0-0-3
20160409,1,두산,7,4,2,1,0.667,0,4승1무2패,1승,3-1-1,1-0-1
20160409,2,삼성,7,4,3,0,0.571,0.5,4승0무3패,1패,1-0-1,3-0-2
20160409,2,NC,7,4,3,0,0.571,0.5,4승0무3패,3승,3-0-1,1-0-2
20160409,2,넥센,8,4,3,1,0.571,0.5,4승1무3패,1패,2-0-1,2-1-2
20160409,5,SK,8,4,4,0,0.500,1,4승0무4패,3승,3-0-2,1-0-2
20160409,5,KIA,6,3,3,0,0.500,1,3승0무3패,1승,1-0-1,2-0-2
20160409,5,롯데,8,4,4,0,0.500,1,4승0무4패,1승,3-0-2,1-0-2
20160409,5,LG,6,3,3,0,0.500,1,3승0무3패,2패,2-0-0,1-0-3
20160409,5,KT,8,4,4,0,0.500,1,4승0무4패,1패,2-0-3,2-0-1
20160409,10,한화,7,1,6,0,0.143,3.5,1승0무6패,4패,1-0-2,0-0-4
20160410,1,넥센,9,5,3,1,0.625,0,5승1무3패,1승,2-0-1,3-1-2
20160410,2,두산,8,4,3,1,0.571,0.5,4승1무3패,1패,3-1-2,1-0-1
20160410,3,SK,9,5,4,0,0.556,0.5,5승0무4패,4승,4-0-2,1-0-2
20160410,3,롯데,9,5,4,0,0.556,0.5,5승0무4패,2승,4-0-2,1-0-2
20160410,3,KT,9,5,4,0,0.556,0.5,5승0무4패,1승,3-0-3,2-0-1
20160410,6,삼성,8,4,4,0,0.500,1,4승0무4패,2패,1-0-1,3-0-3
20160410,6,NC,8,4,4,0,0.500,1,4승0무4패,1패,3-0-2,1-0-2
20160410,8,KIA,7,3,4,0,0.429,1.5,3승0무4패,1패,1-0-1,2-0-3
