순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,65543,린드블럼,두산,2.88,26,15,0,0,0,0,3,122,209,0.58
2,68135,윌슨,LG,3.07,26,9,0,1,0,0,16,219,116,1.89
3,62698,소사,LG,3.52,27,9,0,1,0,0,14,158,195,0.81
4,77211,이용찬,두산,3.63,24,15,0,2,0,0,16,143,163,0.88
5,68240,후랭코프,두산,3.74,28,18,0,0,0,0,18,179,108,1.66
6,67313,브리검,넥센,3.84,30,11,0,2,0,0,25,247,145,1.70
7,65856,켈리,SK,4.09,28,12,0,0,0,0,9,156,143,1.09
8,77637,양현종,KIA,4.15,29,13,0,3,0,0,19,163,204,0.80
9,60841,박종훈,SK,4.18,30,14,0,0,0,0,13,172,162,1.06
10,61240,니퍼트,KT,4.25,28,8,0,0,0,0,15,185,152,1.22
11,65331,피어밴드,KT,4.30,26,7,1,1,0,0,12,140,186,0.75
12,62869,문승원,SK,4.60,27,8,0,3,2,0,16,141,167,0.84
13,66643,헥터,KIA,4.60,29,11,0,1,1,0,14,165,195,0.85
14,68748,샘슨,한화,4.68,29,13,0,0,0,0,8,136,143,0.95
15,65546,레일리,롯데,4.74,30,11,0,0,0,0,14,214,124,1.73
16,60263,이재학,NC,4.79,29,5,0,1,0,0,9,174,148,1.18
17,62363,한현희,넥센,4.79,28,10,1,0,0,0,24,207,162,1.28
18,68815,산체스,SK,4.89,26,8,0,0,1,0,9,163,134,1.22
19,68435,아델만,삼성,5.05,31,8,0,0,0,0,15,170,179,0.95
20,68953,베렛,NC,5.28,29,6,0,0,0,0,13,156,147,1.06
21,68400,보니야,삼성,5.30,29,7,0,0,0,0,22,220,105,2.10
22,75258,금민철,KT,5.41,29,8,0,0,0,0,32,198,147,1.35
23,61101,임찬규,LG,5.77,27,11,0,1,0,0,9,152,141,1.08
24,76455,차우찬,LG,6.09,29,12,0,1,0,0,11,148,208,0.71
25,62528,김원중,롯데,6.94,30,8,0,0,0,0,6,106,173,0.61
1,75138,신재웅,SK,2.77,0,0,2,32,28,0,4,39,61,0.64
2,77829,김광현,SK,2.98,25,11,0,0,0,0,11,149,113,1.32
3,76858,박희수,SK,3.27,0,0,1,9,8,0,3,33,29,1.14
4,66858,정동윤,SK,3.38,0,0,0,1,0,0,0,1,3,0.33
5,79847,김태훈,SK,3.83,4,2,7,6,15,0,13,113,58,1.95
8,64805,이승진,SK,4.57,2,0,0,12,0,0,2,43,44,0.98
10,71845,채병용,SK,4.80,0,0,2,7,3,1,3,24,47,0.51
12,74838,윤희상,SK,5.12,1,0,1,15,12,0,8,62,40,1.55
13,67840,남윤성,SK,5.19,0,0,0,3,0,0,1,9,11,0.82
14,62056,정영일,SK,5.32,0,0,3,5,14,0,3,57,41,1.39
15,75340,전유수,SK,5.50,0,0,0,7,0,0,4,20,14,1.43
16,75250,박정배,SK,5.84,0,0,1,22,19,0,3,47,40,1.18
17,61895,서진용,SK,6.12,0,0,3,9,12,0,1,33,53,0.62
18,65802,봉민호,SK,6.75,0,0,0,1,0,0,0,0,2,0.00
19,73632,임준혁,SK,7.36,0,0,0,2,0,0,2,6,12,0.50
20,65343,김택형,SK,7.71,0,0,1,2,6,0,0,14,8,1.75
21,78819,백청훈,SK,9.42,0,0,1,3,6,0,0,6,22,0.27
22,66859,김주한,SK,13.50,0,0,1,1,2,0,1,9,5,1.80
23,68856,최민준,SK,14.40,0,0,0,0,0,0,0,10,4,2.50
24,64893,박민호,SK,15.43,0,0,0,0,0,0,1,5,1,5.00
25,79130,강지광,SK,21.00,0,0,0,2,0,0,0,3,2,1.50
26,68848,조성훈,SK,27.00,0,0,0,1,0,0,0,0,1,0.00
27,67863,이원준,SK,29.45,1,0,0,1,0,0,0,3,6,0.50
28,74748,정재원,SK,30.86,0,0,0,0,0,0,1,4,2,2.00
2,63248,함덕주,두산,2.96,0,0,6,44,35,6,3,54,62,0.87
3,68249,박신지,두산,3.00,0,0,1,9,2,0,0,17,31,0.55
4,73248,김승회,두산,3.46,0,0,3,10,21,1,6,67,57,1.18
6,67266,박치국,두산,3.63,0,0,1,6,29,2,11,76,51,1.49
7,61962,김정후,두산,3.63,0,0,0,5,1,0,1,10,28,0.36
9,78247,홍상삼,두산,4.30,0,0,1,8,0,0,5,12,14,0.86
10,77263,김강률,두산,4.62,0,0,5,17,24,1,7,72,61,1.18
11,76329,이현승,두산,4.99,0,0,1,6,7,0,7,36,28,1.29
12,66291,이영하,두산,5.28,17,8,2,4,7,0,13,115,144,0.80
13,61295,강동연,두산,5.40,0,0,1,4,1,0,0,6,22,0.27
14,61214,이현호,두산,6.11,2,0,0,10,1,0,1,20,40,0.50
15,79229,유희관,두산,6.70,28,10,0,0,0,0,15,155,167,0.93
16,64255,한주성,두산,6.75,0,0,0,0,0,0,0,2,9,0.22
17,66160,유재유,두산,7.11,1,0,0,4,0,0,2,8,4,2.00
18,68260,현도훈,두산,7.27,1,0,0,0,0,0,2,3,16,0.19
19,68220,곽빈,두산,7.55,0,0,3,7,10,1,2,23,39,0.59
20,68201,박성모,두산,9.00,0,0,0,1,0,0,0,3,2,1.50
21,65064,윤수호,두산,9.24,0,0,0,3,1,0,2,30,25,1.20
22,74513,장원준,두산,9.92,16,3,0,0,3,0,10,84,71,1.18
23,62263,변시원,두산,10.13,0,0,0,2,1,0,2,9,13,0.69
24,67263,최원준,두산,10.61,0,0,0,1,0,0,1,10,14,0.71
25,74543,최대성,두산,11.70,0,0,0,2,1,0,1,8,11,0.73
26,60255,장민익,두산,27.00,0,0,0,1,1,0,0,3,1,3.00
26,79535,허준혁,두산,27.00,1,0,0,0,0,0,0,2,2,1.00
28,68200,김민규,두산,54.00,0,0,0,0,0,0,0,0,1,0.00
1,63765,김종수,한화,1.80,0,0,0,2,0,0,0,3,11,0.27
2,67703,박상원,한화,2.10,0,0,4,19,10,0,6,55,54,1.02
3,73801,송은범,한화,2.50,0,0,7,7,19,0,11,120,44,2.73
4,60768,이태양,한화,2.84,0,0,4,13,14,0,6,64,81,0.79
5,74857,정우람,한화,3.40,0,0,5,54,39,1,2,26,74,0.35
6,67762,김성훈,한화,3.58,5,0,0,3,0,0,3,25,25,1.00
7,62611,임준섭,한화,4.32,0,0,1,1,0,0,5,9,4,2.25
8,68794,헤일,한화,4.34,12,3,0,0,0,0,7,86,45,1.91
9,79764,장민재,한화,4.68,3,1,5,8,1,0,2,65,71,0.92
11,72447,권혁,한화,4.91,0,0,1,0,0,0,2,10,10,1.00
12,74731,송창식,한화,4.97,0,0,1,5,2,0,1,12,18,0.67
13,68742,휠러,한화,5.13,19,3,0,0,0,0,9,103,87,1.18
14,78552,강승현,한화,5.40,0,0,0,1,0,0,0,2,1,2.00
15,66741,김재영,한화,5.66,21,6,0,1,1,0,13,140,119,1.18
16,73738,안영명,한화,5.73,1,0,8,10,9,0,7,79,59,1.34
17,65769,김범수,한화,5.77,3,0,4,4,7,0,2,40,45,0.89
18,64759,서균,한화,5.79,0,0,1,7,15,1,6,60,23,2.61
19,73750,윤규진,한화,5.89,17,2,0,1,0,0,7,67,96,0.70
20,68701,김진욱,한화,6.35,1,0,0,1,0,0,0,4,10,0.40
21,65764,김민우,한화,6.52,20,5,0,0,0,0,9,99,113,0.88
22,70425,배영수,한화,6.63,11,2,0,0,0,0,2,53,61,0.87
23,67737,김진영,한화,7.94,2,0,0,1,0,0,1,10,12,0.83
24,68703,박성웅,한화,8.68,0,0,1,4,5,0,0,15,22,0.68
25,74167,심수창,한화,15.43,0,0,0,1,1,0,0,1,3,0.33
26,60757,김경태,한화,16.88,0,0,0,0,0,0,0,3,2,1.50
27,77452,이동걸,한화,18.00,0,0,0,1,0,0,0,3,1,3.00
1,60336,문성현,넥센,0.00,0,0,0,1,0,0,0,1,1,1.00
1,61396,박정준,넥센,0.00,0,0,0,2,0,0,0,3,2,1.50
1,63960,이상민,넥센,0.00,0,0,0,2,1,0,1,5,5,1.00
4,61268,양현,넥센,3.58,0,0,1,5,6,0,7,43,23,1.87
5,63342,조상우,넥센,3.79,0,0,1,14,14,1,1,12,18,0.67
6,65742,로저스,넥센,3.80,13,5,0,1,0,0,8,99,69,1.43
8,65320,최원태,넥센,3.95,23,13,0,1,0,0,16,166,116,1.43
9,75342,이보근,넥센,4.28,0,0,7,9,30,0,4,53,72,0.74
11,61456,윤영삼,넥센,4.85,0,0,1,11,2,0,2,24,27,0.89
12,76430,김태혁,넥센,5.17,0,0,2,29,38,0,2,38,55,0.69
13,63938,해커,넥센,5.20,13,5,0,0,0,0,6,101,66,1.53
14,67603,이승호,넥센,5.60,4,0,1,4,5,0,1,44,50,0.88
15,62360,김태훈,넥센,6.04,3,1,1,10,6,0,8,41,58,0.71
16,67828,김성민,넥센,6.19,1,0,2,8,4,0,3,51,43,1.19
17,74359,오주원,넥센,6.19,0,0,3,11,24,0,3,50,60,0.83
18,62937,신재영,넥센,6.75,21,7,1,2,0,0,10,94,139,0.68
19,68341,안우진,넥센,7.19,5,1,1,8,2,0,3,33,40,0.83
20,63348,조성운,넥센,7.43,0,0,0,12,1,0,2,19,36,0.53
21,64350,하영민,넥센,7.71,1,0,0,6,0,0,0,26,14,1.86
22,66018,김선기,넥센,7.94,0,0,0,6,0,0,0,21,27,0.78
23,65392,김정인,넥센,8.59,2,0,0,0,0,0,1,4,13,0.31
24,64051,이영준,넥센,22.50,0,0,0,0,0,0,0,3,1,3.00
25,66068,서의태,넥센,54.00,0,0,0,0,0,0,0,1,0,-
1,63638,박준표,KIA,0.00,0,0,0,0,0,0,0,3,1,3.00
3,60634,임기준,KIA,3.54,0,0,5,7,15,1,5,61,51,1.20
4,62648,김윤동,KIA,3.70,0,0,7,12,20,1,7,81,75,1.08
6,67640,유승철,KIA,4.37,0,0,1,13,2,0,3,36,53,0.68
8,65643,문경찬,KIA,4.72,0,0,0,11,3,0,4,37,76,0.49
9,65618,황인준,KIA,4.96,2,0,3,16,2,0,5,57,61,0.93
10,95657,임창용,KIA,5.42,12,3,2,10,12,0,2,81,86,0.94
11,76653,박경태,KIA,5.68,0,0,0,2,0,0,1,6,7,0.86
