순위,선수ID,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,64006,심우준,KT,유격수,144,133,1157,21,0,231,427,94,0.969,0,0,0,-
1,50506,마차도,롯데,유격수,144,139,1180 2/3,10,0,228,380,88,0.984,0,0,0,-
3,64166,배정대,KT,중견수,143,141,1221 1/3,5,0,354,13,2,0.987,0,0,0,-
4,79231,정수빈,두산,중견수,141,133,1162 2/3,1,0,328,7,3,0.997,0,0,0,-
4,79109,오지환,LG,유격수,141,136,1142,15,0,184,405,100,0.975,0,0,0,-
4,64646,박찬호,KIA,유격수,141,137,1165,15,0,198,385,101,0.975,0,0,0,-
7,78513,전준우,롯데,좌익수,139,136,1154 2/3,5,0,274,9,0,0.983,0,0,0,-
8,61102,유강남,LG,포수,134,123,1009 2/3,2,0,795,52,8,0.998,7,64,22,25.6
8,69652,터커,KIA,우익수,134,133,1108,1,0,222,4,1,0.996,0,0,0,-
10,76313,황재균,KT,3루수,132,128,1113 2/3,13,0,106,213,31,0.961,0,0,0,-
11,50923,알테어,NC,중견수,131,129,1094 2/3,2,0,326,3,1,0.994,0,0,0,-
11,78629,나지완,KIA,좌익수,131,130,1019 1/3,1,0,206,3,1,0.995,0,0,0,-
13,78224,김재환,두산,좌익수,127,127,1014 2/3,2,0,247,5,1,0.992,0,0,0,-
13,79150,정주현,LG,2루수,127,111,896,10,0,211,321,90,0.982,0,0,0,-
13,68050,강백호,KT,1루수,127,121,1064,10,0,1056,75,111,0.991,0,0,0,-
16,78548,장성우,KT,포수,126,114,952,3,0,665,34,6,0.996,6,54,14,20.6
16,62415,박해민,삼성,중견수,126,121,1019 1/3,0,0,340,5,2,1.000,0,0,0,-
16,77532,손아섭,롯데,우익수,126,123,1056 2/3,1,0,234,4,1,0.996,0,0,0,-
19,62931,노진혁,NC,유격수,125,115,955 2/3,8,0,174,274,56,0.982,0,0,0,-
19,62558,김준태,롯데,포수,125,84,793,7,0,615,54,5,0.990,4,64,12,15.8
21,67872,로맥,SK,1루수,124,121,1035 2/3,10,0,947,48,111,0.990,0,0,0,-
21,68525,한동희,롯데,3루수,124,119,973,16,0,58,206,11,0.943,0,0,0,-
23,62907,박민우,NC,2루수,123,116,943 2/3,10,0,250,278,71,0.981,0,0,0,-
24,75847,최정,SK,3루수,122,118,987 2/3,11,0,76,170,22,0.957,0,0,0,-
25,79215,박건우,두산,우익수,121,114,902,2,0,214,7,4,0.991,0,0,0,-
26,74206,김재호,두산,유격수,120,113,961 2/3,13,0,137,289,59,0.970,0,0,0,-
27,62265,유민상,KIA,1루수,119,108,932 2/3,9,0,830,51,108,0.990,0,0,0,-
27,78288,최재훈,한화,포수,119,103,857 2/3,5,1,727,48,12,0.994,4,79,27,25.5
29,62244,박세혁,두산,포수,118,106,880 2/3,8,1,752,38,5,0.990,2,59,14,19.2
30,75334,오재일,두산,1루수,115,110,927 1/3,3,0,833,36,75,0.997,0,0,0,-
31,76849,이명기,NC,좌익수,114,105,856,1,0,178,6,0,0.995,0,0,0,-
31,79608,안치홍,롯데,2루수,114,106,913,14,0,179,308,60,0.972,0,0,0,-
33,76267,최주환,두산,2루수,113,109,813 2/3,8,0,183,251,55,0.982,0,0,0,-
33,74540,강민호,삼성,포수,113,103,862 2/3,8,1,640,43,3,0.988,2,33,23,41.1
35,62925,강진성,NC,1루수,111,95,793,4,0,647,46,70,0.994,0,0,0,-
36,71837,김강민,SK,중견수,110,69,658 1/3,2,0,207,8,4,0.991,0,0,0,-
37,76290,김현수,LG,좌익수,109,105,902,1,0,209,7,1,0.995,0,0,0,-
37,74465,박석민,NC,3루수,109,103,825 2/3,14,0,76,139,17,0.939,0,0,0,-
39,67341,이정후,키움,우익수,107,93,809 2/3,2,0,181,8,2,0.990,0,0,0,-
40,76232,양의지,NC,포수,106,97,792,2,2,645,47,4,0.997,5,32,24,42.9
40,79402,김상수,삼성,2루수,106,100,817 1/3,7,0,215,249,72,0.985,0,0,0,-
40,74163,이용규,한화,중견수,106,96,799,3,0,222,0,0,0.987,0,0,0,-
43,73113,박경수,KT,2루수,105,94,746 1/3,8,0,180,286,66,0.983,0,0,0,-
44,50165,라모스,LG,1루수,104,103,827,6,0,799,57,84,0.993,0,0,0,-
44,67025,로하스,KT,우익수,104,102,845 2/3,3,0,204,6,3,0.986,0,0,0,-
46,79240,허경민,두산,3루수,103,99,872 2/3,8,0,84,160,22,0.968,0,0,0,-
47,76249,민병헌,롯데,중견수,97,69,641 2/3,0,0,164,2,1,1.000,0,0,0,-
48,64300,김하성,키움,유격수,96,86,743,14,0,114,256,53,0.964,0,0,0,-
49,65586,전병우,키움,3루수,94,78,681,8,0,53,139,10,0.960,0,0,0,-
49,76802,김성현,SK,유격수,94,80,631 2/3,8,0,108,186,45,0.974,0,0,0,-
51,66606,최원준,KIA,중견수,92,88,705,4,0,185,4,1,0.979,0,0,0,-
52,64657,박준태,키움,중견수,90,78,632,1,0,169,4,2,0.994,0,0,0,-
53,75125,박병호,키움,1루수,88,85,712 2/3,6,0,694,56,69,0.992,0,0,0,-
54,79365,박동원,키움,포수,86,75,641 1/3,6,4,461,36,4,0.988,7,44,11,20.0
54,64868,조용호,KT,좌익수,86,69,525 2/3,1,0,107,6,1,0.991,0,0,0,-
56,79192,채은성,LG,우익수,84,79,678 1/3,2,0,170,4,1,0.989,0,0,0,-
56,65653,김호령,KIA,중견수,84,33,361 2/3,2,0,88,3,2,0.978,0,0,0,-
58,77564,김민성,LG,3루수,83,79,640,5,0,45,102,18,0.967,0,0,0,-
59,66108,홍창기,LG,중견수,82,67,574 2/3,2,0,170,4,1,0.989,0,0,0,-
59,63722,한승택,KIA,포수,82,70,597,3,2,550,36,4,0.995,3,42,12,22.2
59,69737,노시환,한화,3루수,82,73,629,10,0,64,108,17,0.945,0,0,0,-
62,68518,정보근,롯데,포수,80,57,416 1/3,2,0,349,28,3,0.995,3,28,14,33.3
63,76812,이재원,SK,포수,79,65,545 1/3,3,0,422,36,7,0.993,3,49,26,34.7
63,78603,김선빈,KIA,2루수,79,78,621 1/3,3,0,157,213,66,0.992,0,0,0,-
65,50854,최지훈,SK,우익수,78,52,468,2,0,109,3,0,0.982,0,0,0,-
65,61186,이천웅,LG,중견수,78,73,620,1,0,143,2,0,0.993,0,0,0,-
67,65060,주권,KT,투수,77,0,70,2,0,2,5,1,0.778,0,0,0,-
67,68743,정은원,한화,2루수,77,72,622,4,0,136,179,43,0.987,0,0,0,-
69,76650,진해수,LG,투수,76,0,50,0,0,3,7,0,1.000,0,0,0,-
69,66409,이성규,삼성,1루수,76,42,435 1/3,5,0,368,35,46,0.988,0,0,0,-
71,78122,김태군,NC,포수,75,34,335 1/3,3,0,297,19,4,0.991,2,16,8,33.3
72,50458,김지찬,삼성,2루수,74,30,328 2/3,5,0,78,112,16,0.974,0,0,0,-
73,78217,김용의,LG,1루수,73,5,184 2/3,0,0,174,21,19,1.000,0,0,0,-
74,62802,박승욱,KT,2루수,72,20,241 1/3,6,0,54,89,24,0.960,0,0,0,-
75,65399,허정협,키움,좌익수,71,59,492,1,0,90,2,0,0.989,0,0,0,-
