순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,69343,요키시,키움,2.14,27,12,7,0,0,0.632,159 2/3,144,6,25,6,115,53,38,1.06
2,50558,스트레일리,롯데,2.50,31,15,4,0,0,0.789,194 2/3,148,10,51,7,205,61,54,1.02
3,50636,브룩스,KIA,2.50,23,11,4,0,0,0.733,151 1/3,131,4,24,3,130,43,42,1.02
4,69045,알칸타라,두산,2.54,31,20,2,0,0,0.909,198 2/3,174,12,30,9,182,58,56,1.03
5,69940,루친스키,NC,3.05,30,19,5,0,0,0.792,183,173,14,57,11,167,67,62,1.26
6,69103,켈리,LG,3.32,28,15,7,0,0,0.682,173 1/3,160,16,40,11,134,67,64,1.15
7,50404,뷰캐넌,삼성,3.45,27,15,7,0,0,0.682,174 2/3,172,16,50,7,121,71,67,1.27
8,68419,최지명,삼성,3.58,26,11,6,0,0,0.647,146,131,12,51,7,123,67,58,1.25
9,62869,문승원,SK,3.65,25,6,8,0,0,0.429,145 2/3,136,13,45,6,117,64,59,1.24
10,61101,임찬규,LG,4.08,27,10,9,0,0,0.526,147 2/3,143,14,65,5,138,76,67,1.41
11,69032,쿠에바스,KT,4.10,27,10,8,0,0,0.556,158,152,16,46,9,110,80,72,1.25
12,50040,데스파이네,KT,4.33,35,15,8,0,0,0.652,207 2/3,233,18,68,8,152,105,100,1.45
13,50640,가뇽,KIA,4.34,28,11,8,0,0,0.579,159 2/3,162,7,64,9,141,86,77,1.42
14,68135,윌슨,LG,4.42,25,10,8,0,0,0.556,144 2/3,161,13,39,8,109,81,71,1.38
15,50912,라이트,NC,4.68,29,11,9,0,0,0.550,157 2/3,164,12,63,10,125,87,82,1.44
16,77637,양현종,KIA,4.70,31,11,10,0,0,0.524,172 1/3,180,13,64,5,149,99,90,1.42
17,64021,박세웅,롯데,4.70,28,8,10,0,0,0.444,147 1/3,177,20,47,8,108,85,77,1.52
18,60841,박종훈,SK,4.81,29,13,11,0,0,0.542,157 1/3,146,14,78,22,134,90,84,1.42
19,69744,서폴드,한화,4.91,28,10,13,0,0,0.435,165,203,19,42,13,97,107,90,1.48
20,50835,핀토,SK,6.17,30,6,15,0,0,0.286,162,198,19,90,11,112,121,111,1.78
1,50992,김태경,NC,0.00,1,0,0,0,0,-,1,0,0,1,0,1,0,0,1.00
1,50901,안인산,NC,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00
4,62655,홍성민,NC,1.04,30,1,0,0,8,1.000,26,20,2,6,2,14,4,3,1.00
5,65933,구창모,NC,1.74,15,9,0,0,1,1.000,93 1/3,58,7,18,0,102,20,18,0.81
6,75867,김진성,NC,2.66,48,3,0,0,6,1.000,47 1/3,41,4,10,0,56,16,14,1.08
8,69962,송명기,NC,3.70,36,9,3,0,0,0.750,87 2/3,78,12,39,2,72,37,36,1.33
9,64995,배재환,NC,3.98,53,1,3,0,12,0.250,43,38,4,35,9,33,22,19,1.70
10,76118,원종현,NC,4.26,58,3,5,30,0,0.375,57,56,4,20,2,41,30,27,1.33
11,63959,임정호,NC,4.61,69,2,2,0,22,0.500,41,32,3,20,7,38,23,21,1.27
12,65639,박정수,NC,4.64,22,1,1,0,2,0.500,33,25,4,24,6,29,17,17,1.48
14,60339,김건태,NC,4.89,33,1,1,0,4,0.500,35,29,4,25,2,37,19,19,1.54
15,65643,문경찬,NC,5.02,56,0,5,10,11,0.000,52,51,11,15,2,44,35,29,1.27
16,63991,박진우,NC,5.23,43,2,2,0,7,0.500,43,47,2,13,6,22,29,25,1.40
17,63914,손정욱,NC,5.25,16,0,0,0,0,-,12,16,1,5,1,5,8,7,1.75
18,78352,임창민,NC,5.26,44,7,2,0,11,0.778,37 2/3,39,4,23,2,44,26,22,1.65
19,68900,김영규,NC,5.45,20,2,2,0,1,0.500,67 2/3,83,12,14,2,55,47,41,1.43
20,68902,신민혁,NC,5.79,17,2,3,0,0,0.400,42,57,10,13,3,26,27,27,1.67
21,61295,강동연,NC,6.00,22,1,2,0,1,0.333,24,27,3,11,1,17,17,16,1.58
21,65949,류진욱,NC,6.00,3,0,0,0,0,-,3,4,1,1,0,3,2,2,1.67
23,66920,최성영,NC,6.08,14,2,4,0,0,0.333,60 2/3,67,13,35,3,27,45,41,1.68
24,65937,이호중,NC,6.23,4,0,0,0,0,-,4 1/3,7,1,2,1,3,3,3,2.08
25,60263,이재학,NC,6.55,19,5,6,0,0,0.455,90 2/3,105,14,43,5,61,66,66,1.63
26,67962,소이현,NC,6.57,13,0,0,0,0,-,12 1/3,8,1,14,1,8,9,9,1.78
27,67956,김태현,NC,6.75,2,0,0,0,0,-,1 1/3,2,0,4,0,1,2,1,4.50
28,79358,강윤구,NC,6.86,30,1,1,0,3,0.500,21,31,3,11,0,15,16,16,2.00
29,69974,배민서,NC,7.43,13,0,0,0,0,-,13 1/3,17,4,7,0,9,12,11,1.80
30,67954,김진호,NC,8.71,3,0,1,0,0,0.000,10 1/3,14,5,8,1,7,10,10,2.13
31,68910,이승헌,NC,9.00,3,0,0,0,0,-,2,3,1,1,1,2,2,2,2.00
32,65042,홍성무,NC,12.60,11,0,0,1,0,-,15,21,3,13,1,12,22,21,2.27
1,68207,배창현,두산,0.00,1,0,0,0,0,-,1/3,0,0,2,0,0,0,0,6.00
4,67266,박치국,두산,2.89,63,4,4,0,7,0.500,71 2/3,65,5,34,5,66,34,23,1.38
5,50298,최세창,두산,3.00,3,0,0,0,0,-,3,5,1,0,0,1,2,1,1.67
6,50234,플렉센,두산,3.01,21,8,4,0,0,0.667,116 2/3,97,6,30,2,132,43,39,1.09
7,67246,김명신,두산,3.52,16,0,1,0,0,0.000,15 1/3,20,3,4,3,11,6,6,1.57
8,77263,김강률,두산,3.54,30,2,2,0,0,0.500,28,36,1,20,4,28,22,11,2.00
9,67263,최원준,두산,3.80,42,10,2,0,0,0.833,123,134,15,35,7,94,52,52,1.37
10,63248,함덕주,두산,3.90,36,5,1,10,2,0.833,55 1/3,55,2,21,0,55,25,24,1.37
