순위,선수ID,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,64006,심우준,KT,144,46,35,11,76.1,3,1
2,62415,박해민,삼성,132,46,34,12,73.9,5,3
3,67304,김혜성,키움,142,33,25,8,75.8,3,2
4,78168,서건창,키움,135,34,24,10,70.6,9,1
5,64300,김하성,키움,138,25,23,2,92.0,6,0
6,50923,알테어,NC,136,25,22,3,88.0,4,2
6,64166,배정대,KT,144,35,22,13,62.9,4,2
8,50458,김지찬,삼성,135,25,21,4,84.0,1,2
9,79109,오지환,LG,141,28,20,8,71.4,9,1
10,62404,구자욱,삼성,118,24,19,5,79.2,4,2
11,50854,최지훈,SK,127,24,18,6,75.0,3,3
12,74163,이용규,한화,120,25,17,8,68.0,5,1
13,79231,정수빈,두산,141,21,15,6,71.4,6,0
13,60558,오태곤,SK,94,21,15,6,71.4,1,2
13,64646,박찬호,KIA,141,23,15,8,65.2,3,0
13,50506,마차도,롯데,144,16,15,1,93.8,7,0
17,79240,허경민,두산,117,20,14,6,70.0,4,1
17,66606,최원준,KIA,123,17,14,3,82.4,5,2
17,79608,안치홍,롯데,124,17,14,3,82.4,4,0
20,67207,이유찬,두산,101,17,13,4,76.5,2,0
20,62907,박민우,NC,126,19,13,6,68.4,5,1
22,67341,이정후,키움,140,14,12,2,85.7,3,1
22,62934,김성욱,NC,104,17,12,5,70.6,2,0
22,76849,이명기,NC,136,19,12,7,63.2,5,1
22,64868,조용호,KT,132,15,12,3,80.0,4,1
26,66108,홍창기,LG,135,16,11,5,68.8,4,1
26,76313,황재균,KT,134,17,11,6,64.7,3,1
26,63704,노수광,한화,100,18,11,7,61.1,4,0
26,60523,정훈,롯데,111,12,11,1,91.7,2,0
30,77248,오재원,두산,85,15,10,5,66.7,3,1
30,79402,김상수,삼성,120,13,10,3,76.9,4,0
30,61204,김동한,롯데,82,14,10,4,71.4,3,0
30,65506,김재유,롯데,68,12,10,2,83.3,1,1
30,76249,민병헌,롯데,109,16,10,6,62.5,2,0
35,62353,박정음,키움,86,10,9,1,90.0,0,1
35,62925,강진성,NC,121,10,9,1,90.0,3,1
35,61208,정진호,한화,113,16,9,7,56.3,2,0
38,79215,박건우,두산,129,10,8,2,80.0,4,1
38,75847,최정,SK,133,11,8,3,72.7,6,2
38,65207,신민재,LG,68,10,8,2,80.0,1,0
38,61186,이천웅,LG,89,13,8,5,61.5,7,0
38,79150,정주현,LG,134,15,8,7,53.3,7,1
38,64004,김민혁,KT,108,12,8,4,66.7,2,0
44,65586,전병우,키움,119,7,7,0,100,3,0
44,71837,김강민,SK,122,12,7,5,58.3,2,1
44,69825,김창평,SK,35,7,7,0,100,1,1
44,61869,정진기,SK,50,8,7,1,87.5,1,1
44,78217,김용의,LG,101,10,7,3,70.0,1,0
44,75808,정근우,LG,72,9,7,2,77.8,2,0
44,68050,강백호,KT,129,9,7,2,77.8,10,0
44,64984,김태진,KIA,82,11,7,4,63.6,3,0
44,61404,김헌곤,삼성,97,12,7,5,58.3,2,0
53,74206,김재호,두산,120,8,6,2,75.0,6,0
53,78224,김재환,두산,140,6,6,0,100,2,0
53,60566,이상호,NC,82,10,6,4,60.0,0,1
53,50468,살라디노,삼성,44,7,6,1,85.7,2,1
53,69453,이학주,삼성,64,8,6,2,75.0,2,1
58,62244,박세혁,두산,124,8,5,3,62.5,6,0
58,64657,박준태,키움,128,6,5,1,83.3,4,3
58,50150,손호영,LG,23,5,5,0,100,1,0
58,76232,양의지,NC,130,7,5,2,71.4,4,0
58,62802,박승욱,KT,97,6,5,1,83.3,2,1
58,62409,박찬도,삼성,51,6,5,1,83.3,3,0
58,68730,호잉,한화,34,8,5,3,62.5,2,0
58,77532,손아섭,롯데,141,5,5,0,100,4,0
58,78513,전준우,롯데,143,10,5,5,50.0,5,0
67,67872,로맥,SK,139,6,4,2,66.7,5,0
67,66968,이재율,NC,25,5,4,1,80.0,0,0
67,69992,최정원,NC,49,4,4,0,100,1,1
67,64012,송민섭,KT,114,7,4,3,57.1,2,0
67,66838,김동엽,삼성,115,8,4,4,50.0,0,2
67,69418,박승규,삼성,91,9,4,5,44.4,1,0
67,62700,하주석,한화,72,5,4,1,80.0,3,0
74,66209,조수행,두산,44,5,3,2,60.0,0,0
74,64346,임병욱,키움,12,3,3,0,100,0,0
74,69804,채현우,SK,16,3,3,0,100,0,0
74,63963,권희동,NC,123,3,3,0,100,0,0
