순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,KT,0.279,27,1105,950,163,265,49,4,22,388,154,11,8,125,4,11,207,21,0.408,0.367,0.775,27,0.305,0.381
2,LG,0.273,26,1039,873,119,238,38,2,14,322,115,16,11,122,5,17,176,18,0.369,0.369,0.738,26,0.288,0.263
3,삼성,0.265,26,1058,908,126,241,44,9,18,357,118,5,6,125,2,14,190,19,0.393,0.361,0.754,26,0.236,0.222
4,SSG,0.265,26,1039,886,141,235,46,4,28,373,132,7,9,123,2,14,195,17,0.421,0.360,0.781,26,0.285,0.313
5,KIA,0.262,27,1075,917,135,240,50,0,28,374,131,19,8,119,6,12,203,27,0.408,0.351,0.759,27,0.276,0.227
6,한화,0.259,26,1060,919,146,238,37,4,21,346,136,8,9,106,1,18,202,15,0.376,0.344,0.720,25,0.296,0.136
7,NC,0.258,26,1014,879,120,227,41,0,26,346,109,10,2,98,2,25,198,19,0.394,0.349,0.743,26,0.248,0.231
8,두산,0.254,27,1063,921,118,234,42,5,21,349,110,13,15,95,2,19,204,21,0.379,0.331,0.710,27,0.239,0.333
9,롯데,0.246,26,989,895,83,220,41,3,21,330,78,7,6,76,3,5,202,19,0.369,0.307,0.676,26,0.192,0.172
10,키움,0.237,27,1028,903,96,214,45,2,14,305,87,12,7,87,1,19,220,25,0.338,0.315,0.653,27,0.222,0.286
