순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,LG,3.55,26,16,10,12,18,0.615,233 1/3,226,17,88,11,189,99,92,1.35
2,KT,3.75,27,19,8,8,13,0.704,245,255,19,84,16,216,114,102,1.38
3,SSG,4.12,26,16,10,6,11,0.615,231 2/3,219,21,120,19,194,124,106,1.46
4,삼성,4.23,26,13,12,6,14,0.520,232,231,23,105,19,177,115,109,1.45
5,NC,4.34,26,12,14,4,16,0.462,228,192,30,109,18,184,118,110,1.32
6,두산,4.35,27,11,15,4,8,0.423,242,246,17,115,14,228,135,117,1.49
7,키움,4.43,27,11,16,10,20,0.407,237 2/3,274,22,97,11,194,128,117,1.56
8,KIA,4.46,27,13,13,5,19,0.500,240,230,27,104,13,197,129,119,1.39
9,롯데,4.51,26,8,17,5,8,0.320,231 1/3,224,19,117,12,216,129,116,1.47
10,한화,5.27,26,11,15,2,16,0.423,234,255,18,137,21,202,156,137,1.68
