rank,team,games,wins,losses,draws,win_rate,games_behind,최근10경기,연속,홈,방문,season,date,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,games_played_ratio,month,hit_순위,hit_team,hit_AVG,hit_G,hit_PA,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_TB,hit_RBI,hit_SAC,hit_SF,hit_season,pit_순위,pit_team,pit_ERA,pit_G,pit_W,pit_L,pit_SV,pit_HLD,pit_WPCT,pit_IP,pit_H,pit_HR,pit_BB,pit_HBP,pit_SO,pit_R,pit_ER,pit_WHIP,pit_season,def_순위,def_team,def_G,def_E,def_PKO,def_PO,def_A,def_DP,def_FPCT,def_PB,def_SB,def_CS,def_CS%,def_season,run_순위,run_team,run_G,run_SBA,run_SB,run_CS,run_SB%,run_OOB,run_PKO,run_season,current_runs_per_game,current_hr_per_game,current_era,current_whip,current_errors_per_game,current_sb_rate
1.0,KT,22.0,16.0,6.0,0.0,0.727,0.0,8승0무2패,3승,8-0-4,8-0-2,2026,,8.0,0.0,2.0,0.8,8.0,0.0,4.0,0.6666666666666666,8.0,0.0,2.0,0.8,0.1527777777777778,,1.0,KT,0.289,22.0,906.0,778.0,139.0,225.0,45.0,4.0,18.0,332.0,131.0,9.0,8.0,2026,2.0,KT,3.83,22.0,16.0,6.0,8.0,13.0,0.727,200.0,208.0,14.0,73.0,13.0,178.0,95.0,85.0,1.41,2026,1.0,KT,22.0,17.0,0.0,600.0,222.0,24.0,0.98,0.0,22.0,5.0,18.5,2026,9.0,KT,22.0,15.0,8.0,7.0,53.3,5.0,0.0,2026,6.318181818181818,0.8181818181818182,3.83,1.41,0.7727272727272727,53.3
2.0,LG,21.0,14.0,7.0,0.0,0.667,1.5,7승0무3패,1패,9-0-5,5-0-2,2026,,7.0,0.0,3.0,0.7,9.0,0.0,5.0,0.6428571428571429,5.0,0.0,2.0,0.7142857142857143,0.14583333333333334,,6.0,LG,0.265,21.0,825.0,688.0,96.0,182.0,30.0,1.0,12.0,250.0,93.0,12.0,9.0,2026,1.0,LG,3.47,21.0,14.0,7.0,11.0,14.0,0.667,187.0,183.0,15.0,67.0,9.0,153.0,78.0,72.0,1.34,2026,7.0,LG,21.0,12.0,2.0,561.0,202.0,16.0,0.985,0.0,15.0,6.0,28.6,2026,2.0,LG,21.0,26.0,19.0,7.0,73.1,10.0,1.0,2026,4.571428571428571,0.5714285714285714,3.47,1.34,0.5714285714285714,73.1
3.0,SSG,21.0,13.0,8.0,0.0,0.619,2.5,6승0무4패,3승,6-0-4,7-0-4,2026,,6.0,0.0,4.0,0.6,6.0,0.0,4.0,0.6,7.0,0.0,4.0,0.6363636363636364,0.14583333333333334,,5.0,SSG,0.266,21.0,851.0,722.0,119.0,192.0,42.0,2.0,22.0,304.0,110.0,7.0,7.0,2026,3.0,SSG,4.21,21.0,13.0,8.0,5.0,6.0,0.619,186.0,181.0,17.0,97.0,15.0,157.0,103.0,87.0,1.49,2026,8.0,SSG,21.0,20.0,1.0,558.0,215.0,23.0,0.975,1.0,10.0,5.0,33.3,2026,3.0,SSG,21.0,21.0,18.0,3.0,85.7,5.0,0.0,2026,5.666666666666667,1.0476190476190477,4.21,1.49,0.9523809523809523,85.7
4.0,삼성,21.0,12.0,8.0,1.0,0.6,3.0,6승0무4패,4패,6-1-6,6-0-2,2026,,6.0,0.0,4.0,0.6,6.0,1.0,6.0,0.5,6.0,0.0,2.0,0.75,0.14583333333333334,,3.0,삼성,0.269,21.0,860.0,728.0,115.0,196.0,36.0,7.0,15.0,291.0,107.0,4.0,5.0,2026,5.0,삼성,4.26,21.0,12.0,8.0,5.0,13.0,0.6,190.0,183.0,21.0,89.0,17.0,140.0,95.0,90.0,1.43,2026,5.0,삼성,21.0,11.0,0.0,570.0,232.0,19.0,0.986,3.0,18.0,5.0,21.7,2026,7.0,삼성,21.0,18.0,12.0,6.0,66.7,4.0,2.0,2026,5.476190476190476,0.7142857142857143,4.26,1.43,0.5238095238095238,66.7
5.0,KIA,22.0,10.0,12.0,0.0,0.455,6.0,5승0무5패,5패,5-0-3,5-0-9,2026,,5.0,0.0,5.0,0.5,5.0,0.0,3.0,0.625,5.0,0.0,9.0,0.35714285714285715,0.1527777777777778,,4.0,KIA,0.266,22.0,874.0,744.0,109.0,198.0,40.0,0.0,17.0,289.0,105.0,14.0,8.0,2026,9.0,KIA,4.9,22.0,10.0,12.0,4.0,16.0,0.455,193.0,193.0,21.0,90.0,13.0,147.0,112.0,105.0,1.47,2026,3.0,KIA,22.0,13.0,0.0,579.0,193.0,13.0,0.983,2.0,18.0,4.0,18.2,2026,8.0,KIA,22.0,12.0,10.0,2.0,83.3,4.0,2.0,2026,4.954545454545454,0.7727272727272727,4.9,1.47,0.5909090909090909,83.3
6.0,한화,21.0,9.0,12.0,0.0,0.429,6.5,3승0무7패,1승,2-0-9,7-0-3,2026,,3.0,0.0,7.0,0.3,2.0,0.0,9.0,0.18181818181818182,7.0,0.0,3.0,0.7,0.14583333333333334,,2.0,한화,0.271,21.0,870.0,757.0,124.0,205.0,31.0,4.0,18.0,298.0,117.0,7.0,7.0,2026,10.0,한화,5.36,21.0,9.0,12.0,2.0,16.0,0.429,188.0,208.0,13.0,117.0,17.0,172.0,131.0,112.0,1.73,2026,6.0,한화,21.0,25.0,1.0,564.0,190.0,24.0,0.968,2.0,9.0,3.0,25.0,2026,6.0,한화,21.0,19.0,13.0,6.0,68.4,4.0,2.0,2026,5.904761904761905,0.8571428571428571,5.36,1.73,1.1904761904761905,68.4
6.0,NC,21.0,9.0,12.0,0.0,0.429,6.5,3승0무7패,1승,6-0-6,3-0-6,2026,,3.0,0.0,7.0,0.3,6.0,0.0,6.0,0.5,3.0,0.0,6.0,0.3333333333333333,0.14583333333333334,,7.0,NC,0.252,21.0,829.0,713.0,98.0,180.0,33.0,0.0,20.0,273.0,89.0,7.0,1.0,2026,4.0,NC,4.23,21.0,9.0,12.0,2.0,10.0,0.429,183.0,154.0,20.0,90.0,14.0,147.0,91.0,86.0,1.33,2026,10.0,NC,21.0,12.0,2.0,549.0,198.0,15.0,0.984,1.0,11.0,3.0,21.4,2026,1.0,NC,21.0,39.0,33.0,6.0,84.6,7.0,1.0,2026,4.666666666666667,0.9523809523809523,4.23,1.33,0.5714285714285714,84.6
6.0,두산,22.0,9.0,12.0,1.0,0.429,6.5,5승0무5패,1패,4-0-4,5-1-8,2026,,5.0,0.0,5.0,0.5,4.0,0.0,4.0,0.5,5.0,1.0,8.0,0.38461538461538464,0.1527777777777778,,9.0,두산,0.25,22.0,868.0,752.0,100.0,188.0,36.0,5.0,18.0,288.0,92.0,10.0,10.0,2026,6.0,두산,4.52,22.0,9.0,12.0,4.0,5.0,0.429,195.0,197.0,16.0,95.0,14.0,185.0,116.0,98.0,1.5,2026,2.0,두산,22.0,17.0,0.0,585.0,195.0,18.0,0.979,1.0,12.0,1.0,7.7,2026,4.0,두산,22.0,19.0,16.0,3.0,84.2,3.0,1.0,2026,4.545454545454546,0.8181818181818182,4.52,1.5,0.7727272727272727,84.2
9.0,롯데,21.0,7.0,14.0,0.0,0.333,8.5,3승0무7패,1승,2-0-8,5-0-6,2026,,3.0,0.0,7.0,0.3,2.0,0.0,8.0,0.2,5.0,0.0,6.0,0.45454545454545453,0.14583333333333334,,8.0,롯데,0.25,21.0,788.0,711.0,65.0,178.0,32.0,2.0,17.0,265.0,61.0,6.0,6.0,2026,7.0,롯데,4.64,21.0,7.0,14.0,4.0,6.0,0.333,184.33333333333334,187.0,13.0,95.0,11.0,170.0,106.0,95.0,1.53,2026,9.0,롯데,21.0,14.0,2.0,553.0,194.0,13.0,0.982,1.0,17.0,8.0,32.0,2026,5.0,롯데,21.0,18.0,14.0,4.0,77.8,12.0,0.0,2026,3.0952380952380953,0.8095238095238095,4.64,1.53,0.6666666666666666,77.8
10.0,키움,22.0,7.0,15.0,0.0,0.318,9.0,4승0무6패,1패,4-0-5,3-0-10,2026,,4.0,0.0,6.0,0.4,4.0,0.0,5.0,0.4444444444444444,3.0,0.0,10.0,0.23076923076923078,0.1527777777777778,,10.0,키움,0.232,22.0,833.0,736.0,74.0,171.0,36.0,1.0,11.0,242.0,67.0,8.0,6.0,2026,8.0,키움,4.74,22.0,7.0,15.0,6.0,14.0,0.318,191.66666666666666,221.0,18.0,78.0,10.0,151.0,112.0,101.0,1.56,2026,4.0,키움,22.0,22.0,1.0,575.0,197.0,20.0,0.972,0.0,14.0,4.0,22.2,2026,10.0,키움,22.0,6.0,6.0,0.0,100.0,6.0,0.0,2026,3.3636363636363638,0.5,4.74,1.56,1.0,100.0
