feature,feature_ko,coefficient,abs_coefficient,direction
prev_postseason,전년도 가을야구,-0.7424913712699324,0.7424913712699324,negative
prev_bb_per9,전년도 BB/9,-0.5671081561790505,0.5671081561790505,negative
prev_sb_per_game,전년도 도루/G,0.539524359808872,0.539524359808872,positive
rank,현재 순위,-0.5323847043725396,0.5323847043725396,negative
games_behind,현재 게임차,-0.4871070169910186,0.4871070169910186,negative
prev_errors_per_game,전년도 실책/G,-0.42298617912873837,0.42298617912873837,negative
prev_so_per9,전년도 K/9,-0.40223461711712494,0.40223461711712494,negative
prev_avg,전년도 팀 타율,-0.3946564503854401,0.3946564503854401,negative
prev_hr_per_game,전년도 홈런/G,0.3898226231495371,0.3898226231495371,positive
prev_top5_hitter_xr,전년도 상위5타자 XR,0.3224696794832749,0.3224696794832749,positive
prev_top5_hitter_rbi,전년도 상위5타자 RBI,0.301144898630661,0.301144898630661,positive
prev_top5_pitcher_so,전년도 상위5투수 SO,-0.27893094793946815,0.27893094793946815,negative
prev_top5_pitcher_whip,전년도 상위5투수 WHIP,0.27487854639586345,0.27487854639586345,positive
prev_top5_pitcher_era,전년도 상위5투수 ERA,-0.2664919000139266,0.2664919000139266,negative
prev_ra_per_game,전년도 실점/G,-0.25053428790828075,0.25053428790828075,negative
wins,현재 승,0.24758063071705155,0.24758063071705155,positive
prev_whip,전년도 WHIP,-0.2337115006260752,0.2337115006260752,negative
prev_win_rate,전년도 승률,0.21253135642372925,0.21253135642372925,positive
prev_top5_hitter_hr,전년도 상위5타자 HR,0.20020478094192296,0.20020478094192296,positive
losses,현재 패,-0.15483569142670434,0.15483569142670434,negative
prev_era,전년도 ERA,-0.13626685484932635,0.13626685484932635,negative
prev_sb_rate,전년도 도루성공률,-0.13624997386551,0.13624997386551,negative
away_win_rate,원정 승률,0.13263163575688836,0.13263163575688836,positive
prev_top5_hitter_gpa,전년도 상위5타자 GPA,-0.12166895003464612,0.12166895003464612,negative
win_rate,현재 승률,0.11690379209145542,0.11690379209145542,positive
prev_final_rank,전년도 최종순위,0.07849411179039838,0.07849411179039838,positive
prev_runs_per_game,전년도 득점/G,0.06265373521010152,0.06265373521010152,positive
month,월,0.05244580360709199,0.05244580360709199,positive
recent10_win_rate,최근10경기 승률,0.050520550654981254,0.050520550654981254,positive
home_win_rate,홈 승률,-0.04931530354283183,0.04931530354283183,negative
draws,현재 무,-0.04835992114483184,0.04835992114483184,negative
games,현재 경기수,0.04565454652525918,0.04565454652525918,positive
games_played_ratio,시즌 진행률,0.04565454652525917,0.04565454652525917,positive
prev_top5_pitcher_ip,전년도 상위5투수 IP,-0.03876635245095222,0.03876635245095222,negative
prev_fpct,전년도 수비율,-0.02489422051247961,0.02489422051247961,negative
