연도,팀명,순위,경기,승,패,승률,team_avg,bat_R,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,bat_OPS,team_bb,team_so,pit_ERA,pit_WHIP,pit_R,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate
2022,SSG,1.0,144.0,88.0,52.0,0.629,0.254,720.0,1245.0,138.0,682.0,1937.0,5642.0,4893.0,0.336,0.396,0.732,530.0,1075.0,3.87,1.29,622.0,560.0,130.0,457.0,1023.0,1301.3333333333333,109.0,0.98,138.0,4.0,107.0,31.0,22.5,137.0,98.0,39.0,71.5,42.0,4.0,98.0,0.572637978800023,2.238512035010941,0.142,0.0939383197447713
2022,키움,2.0,144.0,80.0,62.0,0.563,0.252,621.0,1250.0,94.0,578.0,1801.0,5655.0,4953.0,0.333,0.364,0.697,527.0,1032.0,3.79,1.34,610.0,546.0,96.0,490.0,1010.0,1296.3333333333333,118.0,0.979,134.0,7.0,85.0,42.0,33.1,83.0,63.0,20.0,75.9,42.0,8.0,11.0,0.5089351110735726,2.061224489795918,0.1119999999999999,0.0931918656056587
2022,LG,3.0,144.0,87.0,55.0,0.613,0.269,715.0,1325.0,118.0,674.0,1953.0,5627.0,4927.0,0.346,0.396,0.742,501.0,924.0,3.33,1.27,521.0,476.0,94.0,451.0,1031.0,1288.0,89.0,0.983,139.0,7.0,113.0,26.0,18.7,148.0,102.0,46.0,68.9,46.0,10.0,194.0,0.6531841168518883,2.286031042128603,0.127,0.0890350097743024
2022,KT,4.0,144.0,80.0,62.0,0.563,0.254,631.0,1237.0,119.0,588.0,1824.0,5547.0,4864.0,0.33,0.375,0.705,519.0,1183.0,3.51,1.25,562.0,502.0,92.0,364.0,1074.0,1287.3333333333333,97.0,0.982,132.0,8.0,69.0,26.0,27.4,123.0,89.0,34.0,72.4,38.0,6.0,69.0,0.5576445543098437,2.9505494505494507,0.121,0.0935640886965927
2022,KIA,5.0,144.0,70.0,73.0,0.49,0.272,720.0,1361.0,113.0,677.0,1988.0,5703.0,5000.0,0.349,0.398,0.747,542.0,983.0,4.2,1.42,679.0,597.0,120.0,526.0,1042.0,1279.6666666666667,107.0,0.98,111.0,8.0,64.0,41.0,39.0,137.0,103.0,34.0,75.2,57.0,5.0,41.0,0.529281498324044,1.9809885931558933,0.126,0.0950376994564264
2022,NC,6.0,144.0,67.0,74.0,0.475,0.257,646.0,1260.0,105.0,613.0,1835.0,5585.0,4899.0,0.334,0.375,0.709,501.0,981.0,3.9,1.36,642.0,557.0,111.0,515.0,1168.0,1286.6666666666667,127.0,0.976,115.0,9.0,60.0,42.0,41.2,139.0,100.0,39.0,71.9,56.0,7.0,4.0,0.5031055601099484,2.267961165048544,0.118,0.0897045658012533
2022,삼성,7.0,144.0,66.0,76.0,0.465,0.27,663.0,1358.0,103.0,627.0,1946.0,5647.0,5023.0,0.334,0.387,0.721,446.0,1029.0,4.29,1.44,695.0,613.0,129.0,478.0,971.0,1287.0,118.0,0.978,125.0,6.0,51.0,35.0,40.7,118.0,91.0,27.0,77.1,50.0,6.0,-32.0,0.476449012241571,2.0313807531380754,0.1169999999999999,0.0789799893748893
2022,롯데,8.0,144.0,64.0,76.0,0.457,0.267,605.0,1320.0,106.0,570.0,1897.0,5534.0,4948.0,0.328,0.383,0.711,417.0,991.0,4.45,1.46,712.0,633.0,84.0,492.0,1199.0,1280.6666666666667,114.0,0.979,124.0,11.0,99.0,39.0,28.3,100.0,61.0,39.0,61.0,54.0,6.0,-107.0,0.4192875119276859,2.436991869918699,0.1159999999999999,0.0753523671846765
2022,두산,9.0,144.0,60.0,82.0,0.423,0.255,638.0,1249.0,101.0,592.0,1786.0,5510.0,4891.0,0.324,0.365,0.689,450.0,1007.0,4.45,1.48,721.0,632.0,117.0,555.0,977.0,1279.3333333333333,117.0,0.978,128.0,13.0,95.0,34.0,26.4,130.0,90.0,40.0,69.2,55.0,4.0,-83.0,0.4391526456895947,1.7603603603603604,0.1099999999999999,0.0816696914700544
2022,한화,10.0,144.0,46.0,96.0,0.324,0.245,564.0,1196.0,88.0,520.0,1715.0,5513.0,4878.0,0.319,0.352,0.671,497.0,1264.0,4.83,1.51,759.0,680.0,112.0,602.0,974.0,1268.3333333333333,134.0,0.975,111.0,8.0,121.0,51.0,29.7,142.0,93.0,49.0,65.5,49.0,6.0,-195.0,0.3557416484655722,1.6179401993355482,0.1069999999999999,0.0901505532378015
2023,LG,1.0,144.0,86.0,56.0,0.606,0.279,767.0,1364.0,93.0,714.0,1924.0,5687.0,4881.0,0.361,0.394,0.755,583.0,804.0,3.67,1.36,610.0,527.0,74.0,491.0,977.0,1293.3333333333333,128.0,0.976,131.0,10.0,115.0,30.0,20.7,267.0,166.0,101.0,62.2,78.0,15.0,157.0,0.6125528301552808,1.989816700610998,0.1149999999999999,0.1025145067698259
2023,KT,2.0,144.0,79.0,62.0,0.56,0.265,672.0,1316.0,89.0,621.0,1846.0,5649.0,4973.0,0.338,0.371,0.709,524.0,1074.0,3.94,1.35,616.0,564.0,83.0,413.0,968.0,1287.0,99.0,0.981,117.0,3.0,111.0,23.0,17.2,117.0,87.0,30.0,74.4,54.0,5.0,56.0,0.5433962264150943,2.343825665859564,0.1059999999999999,0.0927597804921225
2023,SSG,3.0,144.0,76.0,65.0,0.539,0.26,658.0,1279.0,125.0,611.0,1915.0,5630.0,4923.0,0.336,0.389,0.725,507.0,943.0,4.37,1.53,698.0,626.0,104.0,612.0,974.0,1288.3333333333333,119.0,0.978,163.0,11.0,127.0,56.0,30.6,124.0,96.0,28.0,77.4,43.0,10.0,-40.0,0.4705271211344015,1.591503267973856,0.129,0.0900532859680284
2023,NC,4.0,144.0,75.0,67.0,0.528,0.27,679.0,1321.0,98.0,642.0,1894.0,5606.0,4895.0,0.345,0.387,0.732,493.0,1005.0,3.83,1.31,617.0,545.0,99.0,513.0,1090.0,1281.3333333333333,130.0,0.976,126.0,7.0,96.0,42.0,30.4,157.0,111.0,46.0,70.7,53.0,8.0,62.0,0.5477302698014803,2.124756335282651,0.1169999999999999,0.0879414912593649
2023,두산,5.0,144.0,74.0,68.0,0.521,0.255,620.0,1238.0,100.0,565.0,1812.0,5538.0,4859.0,0.332,0.373,0.705,505.0,975.0,3.92,1.36,625.0,560.0,90.0,501.0,1013.0,1284.6666666666667,114.0,0.978,108.0,12.0,60.0,40.0,40.0,181.0,133.0,48.0,73.5,52.0,11.0,-5.0,0.4959840005161124,2.021956087824351,0.118,0.0911881545684362
2023,KIA,6.0,144.0,73.0,69.0,0.514,0.276,726.0,1365.0,101.0,673.0,1934.0,5607.0,4954.0,0.345,0.39,0.735,500.0,957.0,4.13,1.42,650.0,583.0,89.0,564.0,980.0,1269.0,102.0,0.981,137.0,12.0,98.0,35.0,26.3,156.0,122.0,34.0,78.2,41.0,6.0,76.0,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172
2023,롯데,7.0,144.0,68.0,76.0,0.472,0.265,653.0,1289.0,69.0,608.0,1765.0,5576.0,4871.0,0.338,0.362,0.7,522.0,1000.0,4.15,1.46,660.0,586.0,80.0,532.0,1070.0,1272.3333333333333,103.0,0.981,111.0,13.0,91.0,46.0,33.6,143.0,101.0,42.0,70.6,42.0,12.0,-7.0,0.4946688491651479,2.011278195488722,0.0969999999999999,0.0936154949784792
2023,삼성,8.0,144.0,61.0,82.0,0.427,0.263,636.0,1290.0,88.0,603.0,1808.0,5581.0,4912.0,0.334,0.368,0.702,487.0,954.0,4.6,1.47,728.0,654.0,120.0,464.0,899.0,1278.3333333333333,103.0,0.981,111.0,6.0,86.0,32.0,27.1,138.0,103.0,35.0,74.6,56.0,10.0,-92.0,0.4328567759609622,1.9375,0.1049999999999999,0.0872603476079555
2023,한화,9.0,144.0,58.0,80.0,0.42,0.241,604.0,1184.0,100.0,568.0,1719.0,5628.0,4906.0,0.324,0.35,0.674,535.0,1162.0,4.38,1.4,708.0,628.0,101.0,518.0,1037.0,1291.6666666666667,109.0,0.98,106.0,10.0,94.0,48.0,33.8,89.0,67.0,22.0,75.3,35.0,7.0,-104.0,0.4212266765194901,2.001930501930502,0.1089999999999999,0.0950604122245913
2023,키움,10.0,144.0,58.0,83.0,0.411,0.261,607.0,1323.0,61.0,576.0,1789.0,5729.0,5062.0,0.331,0.353,0.684,484.0,1096.0,4.42,1.45,710.0,632.0,84.0,532.0,962.0,1288.3333333333333,114.0,0.979,125.0,9.0,129.0,45.0,25.9,65.0,54.0,11.0,83.1,37.0,7.0,-103.0,0.422267402747582,1.8082706766917291,0.0919999999999999,0.0844824576714959
2024,KIA,1.0,144.0,87.0,55.0,0.613,0.301,858.0,1542.0,163.0,812.0,2353.0,5812.0,5124.0,0.369,0.459,0.828,529.0,915.0,4.4,1.48,759.0,629.0,141.0,539.0,1125.0,1288.0,146.0,0.973,133.0,10.0,108.0,31.0,22.3,169.0,125.0,44.0,74.0,45.0,4.0,99.0,0.5609958506224066,2.0871985157699444,0.158,0.0910185822436338
2024,삼성,2.0,144.0,78.0,64.0,0.549,0.269,770.0,1336.0,185.0,734.0,2129.0,5697.0,4975.0,0.346,0.428,0.774,531.0,1150.0,4.68,1.45,719.0,667.0,164.0,477.0,980.0,1282.6666666666667,81.0,0.984,105.0,8.0,114.0,50.0,30.5,142.0,113.0,29.0,79.6,39.0,4.0,51.0,0.5342110408420514,2.0545073375262053,0.1589999999999999,0.0932069510268562
2024,LG,3.0,144.0,76.0,66.0,0.535,0.283,808.0,1394.0,115.0,765.0,2035.0,5725.0,4919.0,0.366,0.414,0.78,616.0,969.0,4.63,1.49,728.0,657.0,126.0,529.0,1082.0,1277.0,102.0,0.981,135.0,10.0,126.0,40.0,24.1,250.0,171.0,79.0,68.4,61.0,12.0,80.0,0.5519424304728926,2.045368620037807,0.131,0.1075982532751091
2024,두산,4.0,144.0,74.0,68.0,0.521,0.276,789.0,1375.0,150.0,743.0,2110.0,5680.0,4975.0,0.35,0.424,0.774,510.0,1077.0,4.82,1.49,748.0,688.0,135.0,585.0,1083.0,1283.6666666666667,84.0,0.984,109.0,15.0,97.0,28.0,22.4,234.0,184.0,50.0,78.6,56.0,4.0,41.0,0.5266563735961591,1.8512820512820516,0.1479999999999999,0.0897887323943662
2024,KT,5.0,144.0,72.0,70.0,0.507,0.279,767.0,1413.0,145.0,722.0,2114.0,5808.0,5072.0,0.355,0.417,0.772,580.0,1123.0,5.11,1.47,804.0,729.0,155.0,443.0,1118.0,1284.3333333333333,116.0,0.978,110.0,14.0,142.0,38.0,21.1,88.0,61.0,27.0,69.3,37.0,4.0,-37.0,0.4764611789860736,2.523702031602709,0.1379999999999999,0.099862258953168
2024,SSG,6.0,144.0,72.0,70.0,0.507,0.273,756.0,1367.0,152.0,724.0,2102.0,5647.0,5001.0,0.342,0.42,0.762,470.0,1095.0,5.25,1.55,814.0,740.0,163.0,630.0,1195.0,1269.6666666666667,119.0,0.977,123.0,11.0,119.0,40.0,25.2,188.0,149.0,39.0,79.3,32.0,3.0,-58.0,0.4631076740575562,1.8968253968253967,0.1469999999999999,0.0832300336461838
2024,롯데,7.0,144.0,66.0,74.0,0.471,0.285,802.0,1454.0,125.0,757.0,2196.0,5766.0,5110.0,0.352,0.43,0.782,494.0,1079.0,5.05,1.53,791.0,719.0,139.0,523.0,1131.0,1280.6666666666667,123.0,0.977,143.0,3.0,89.0,36.0,28.8,147.0,105.0,42.0,71.4,54.0,13.0,11.0,0.5069048810569909,2.1625239005736137,0.145,0.0856746444675685
2024,한화,8.0,144.0,66.0,76.0,0.465,0.27,745.0,1351.0,127.0,698.0,1992.0,5702.0,5005.0,0.347,0.398,0.745,530.0,1077.0,4.98,1.53,780.0,706.0,128.0,511.0,1130.0,1274.6666666666667,105.0,0.98,132.0,12.0,110.0,43.0,28.1,110.0,69.0,41.0,62.7,44.0,7.0,-35.0,0.4770612630809893,2.2113502935420746,0.128,0.0929498421606453
2024,NC,9.0,144.0,61.0,81.0,0.43,0.274,773.0,1371.0,172.0,737.0,2143.0,5757.0,5009.0,0.353,0.428,0.781,513.0,1200.0,5.0,1.51,801.0,708.0,137.0,531.0,1061.0,1275.6666666666667,108.0,0.979,115.0,8.0,86.0,51.0,37.2,137.0,104.0,33.0,75.9,47.0,10.0,-28.0,0.4822165551637035,1.9981167608286248,0.1539999999999999,0.0891089108910891
2024,키움,10.0,144.0,58.0,86.0,0.403,0.264,672.0,1326.0,104.0,641.0,1908.0,5671.0,5015.0,0.337,0.38,0.717,492.0,1141.0,5.16,1.5,796.0,729.0,150.0,497.0,921.0,1272.6666666666667,104.0,0.98,129.0,10.0,117.0,40.0,25.5,84.0,71.0,13.0,84.5,33.0,3.0,-124.0,0.4161297456690011,1.8531187122736417,0.1159999999999999,0.0867571856815376
2025,LG,1.0,144.0,85.0,56.0,0.603,0.278,788.0,1366.0,130.0,732.0,2013.0,5713.0,4919.0,0.361,0.409,0.77,604.0,975.0,3.79,1.35,584.0,539.0,91.0,491.0,1080.0,1279.3333333333333,92.0,0.983,137.0,7.0,95.0,23.0,19.5,170.0,121.0,49.0,71.2,49.0,7.0,204.0,0.6454719334719334,2.19959266802444,0.1309999999999999,0.1057237878522667
